UTM_X,UTM_Y,elevation
618260.2739107186,4197672.9149278263,693.360656738281
618288.0532846624,4197625.0821751719,687.216674804688
618307.6757899136,4197591.2949517993,685.023010253906
618327.4925940236,4197557.1734912507,682.15234375
618345.9061271278,4197525.4685323397,679.806884765625
618371.5088415176,4197481.3854902871,676.786682128906
618395.1708456239,4197440.6444599358,674.549743652344
618412.7200681926,4197410.4286576305,672.739868164062
618436.4409966342,4197369.5869688680,672.488342285156
618449.6599444851,4197346.8273438765,673.258728027344
618463.1706098600,4197323.5656035049,673.956665039062
618473.7778590436,4197305.3028709237,670.58642578125
618489.4581727524,4197278.3059002385,672.428344726562
618505.6437043364,4197250.4393003788,669.527526855469
618536.7178500412,4197196.9395991620,669.406860351562
618558.0199713683,4197160.2646405837,671.920593261719
618569.7198472440,4197140.1216178825,670.637756347656
618593.6409200012,4197098.9383902233,670.875915527344
618624.7707141310,4197045.3451120956,666.664916992188
618672.3700085970,4196963.3993493086,667.028686523438
618698.9362189880,4196917.6644237507,673.136413574219
618717.6556265096,4196885.4384672521,685.697692871094
618746.6333979962,4196835.5530278422,703.59716796875
618782.0145268374,4196774.6450902885,721.860900878906
618804.1589667992,4196736.5243784077,741.975402832031
618843.1756900194,4196669.3597196313,790.108154296875
618858.3303483858,4196643.2723310422,802.393371582031
618892.4661347774,4196584.5113135250,827.484497070312
618912.5396071523,4196549.9574722908,829.230773925781
618950.5712876841,4196484.4918382047,810.751525878906
618978.0411032377,4196437.2075473405,789.668212890625
619028.8909250280,4196349.6804490909,749.826477050781
619047.3995073939,4196317.8224034235,742.434387207031
619061.1166845962,4196294.2117821462,730.303466796875
619093.4450239276,4196238.5673986785,705.962280273438
619114.0794262922,4196203.0513701141,684.992980957031
619129.1804505298,4196177.0596370697,678.239501953125
619140.7208856398,4196157.1964797769,674.213317871094
619157.8471148314,4196127.7193694273,669.394104003906
619176.6249233860,4196095.3998885090,667.342834472656
619192.0388434578,4196068.8703886354,666.881774902344
619208.6434363708,4196040.2917915015,667.494873046875
619220.8184770680,4196019.3371545365,668.434143066406
619244.3005577370,4195978.9221496852,682.300842285156
619257.3236043912,4195956.5083797881,693.146057128906
619280.8895398045,4195915.9497531988,702.575866699219
619293.2529764790,4195894.6715928009,713.106079101562
619308.0080270406,4195869.2774949698,721.030578613281
619330.3167257260,4195830.8835692704,734.905090332031
619340.7819315328,4195812.8727821810,738.270446777344
619354.0322834038,4195790.0688418299,742.200317382812
619380.4356667352,4195744.6288759671,736.316162109375
619403.4820277472,4195704.9667763086,724.96240234375
619417.9481802966,4195680.0711800791,714.638977050781
619436.3277085306,4195648.4410862364,704.177124023438
619463.5845847990,4195601.5341010923,683.260375976562
619490.5024113966,4195555.2111872640,671.98291015625
619508.4024700294,4195524.4072852302,668.0859375
619525.5197075214,4195494.9507702924,662.205993652344
619540.9597727108,4195468.3806527238,658.097900390625
619586.4615659260,4195390.0797793595,644.945007324219
619598.8111196454,4195368.8285811525,638.8046875
619613.9944615456,4195342.7011504089,635.189880371094
619632.9772776780,4195310.0358640654,622.283325195312
619659.3888789288,4195264.5877461284,608.663330078125
619671.6859736936,4195243.4275484709,608.663330078125
619689.9971435446,4195211.9188726889,601.439147949219
619723.0805644420,4195154.9917546045,595.34521484375
619746.1424189480,4195115.3094161702,590.701538085938
619760.2831191976,4195090.9778463813,589.399169921875
619773.1757186884,4195068.7939958060,589.211303710938
619804.8911063154,4195014.2229988482,587.812866210938
619822.0326849304,4194984.7287277449,586.230041503906
619846.0976236349,4194943.3223360199,584.312255859375
