UTM_X,UTM_Y,elevation
618968.3888913814,4197665.2695347015,717.301574707031
619008.7112652654,4197592.2907782383,701.570922851562
619030.2708447916,4197553.2710644957,695.111633300781
619042.4640484162,4197531.2033156184,690.405578613281
619064.7546260444,4197490.8612746466,680.570251464844
619085.9452835488,4197452.5103043187,672.798583984375
619102.1867350047,4197423.1167038651,668.634826660156
619118.7627131446,4197393.1179214893,664.761474609375
619132.8998949174,4197367.5330027575,661.14990234375
619152.4972642142,4197332.0667427946,652.196105957031
619175.6354042561,4197290.1930249343,644.805541992188
619228.3380592952,4197194.8173736697,633.673522949219
619252.1469445504,4197151.7313954215,632.325927734375
619273.0540476604,4197113.8970688675,634.666687011719
619286.9115752059,4197088.8201482361,634.753845214844
619299.3859013832,4197066.2464479674,638.25048828125
619312.6423434180,4197042.2575717717,643.288513183594
619339.4936679412,4196993.6678535854,653.305541992188
619354.2150147134,4196967.0286157625,667.912536621094
619365.8203234144,4196946.0281873913,667.912536621094
619376.5075438300,4196926.6891944092,676.078796386719
619396.9376348720,4196889.7203319781,691.753601074219
619422.4948057596,4196843.4743847856,710.303771972656
619443.2315050904,4196805.9515520539,728.404235839844
619472.6105949454,4196752.7910586642,745.175720214844
619511.3845001806,4196682.6321258834,754.643249511719
619522.1799168170,4196663.0987379607,754.93310546875
619534.1477650582,4196641.4440553002,743.056091308594
619557.0632411874,4196599.9810351981,727.827941894531
619575.4891317764,4196566.6417605979,714.548583984375
619594.4056241527,4196532.4151176997,694.902648925781
619608.6614221844,4196506.6215327987,688.976928710938
619634.1283905380,4196460.5435769279,666.910827636719
619647.3796537996,4196436.5679965997,661.528991699219
619661.1046233516,4196411.7355007175,647.435546875
619672.4183408048,4196391.2657924481,643.429931640625
619683.1337628148,4196371.8786738897,639.503356933594
619702.6553794378,4196336.5590104451,631.150695800781
619715.8232875324,4196312.7350426102,632.103149414062
619743.0944134122,4196263.3953904714,648.770263671875
619774.9377366070,4196205.7844286421,688.672973632812
619791.8231834560,4196175.2356305802,722.453186035156
619805.7618365370,4196150.0183002539,740.908142089844
619828.0675491059,4196109.6639319463,749.490173339844
619856.2252389790,4196058.7230900899,752.965881347656
619872.9483559794,4196028.4691765038,740.792846679688
619890.6196479222,4195996.5001813453,725.929626464844
619903.0902469234,4195973.9398850016,709.481872558594
619917.0264295278,4195948.7283950914,690.406188964844
619931.7111201100,4195922.1629897673,667.530578613281
619956.9175926280,4195876.5635520928,658.023315429688
619980.2922681280,4195834.2784046158,646.021545410156
620001.4457483828,4195796.0118497862,639.130920410156
620025.8312965774,4195751.8989887163,631.168273925781
620058.3727702870,4195693.0330762370,623.91015625
620080.8260833422,4195652.4166918490,615.18408203125
620093.3590652286,4195629.7456473503,609.96435546875
620106.2819775417,4195606.3693989040,604.504760742188
620119.7627508158,4195581.9841933697,595.769409179688
620141.1341191526,4195543.3261162443,587.482543945312
620151.7715842598,4195524.0844502468,583.802490234375
620174.6316993844,4195482.7340818467,582.087768554688
620198.4795148056,4195439.5976103917,577.088623046875
620222.0954248378,4195396.8811098738,571.81005859375
620265.9233280468,4195317.6064255526,568.582153320312
620286.0693354718,4195281.1674606400,573.855163574219
620319.2148509948,4195221.2164969845,583.982604980469
620337.2787716290,4195188.5443273159,588.758117675781
620362.8086129830,4195142.3690564055,598.472290039062
620377.5458803800,4195115.7143422579,604.919677734375
620400.0269867480,4195075.0540215811,615.178161621094
620412.2711619724,4195052.9088539183,621.922119140625
620443.9234099695,4194995.6623008987,628.890197753906
620463.7441974378,4194959.8146890393,631.685119628906
620508.3516858702,4194879.1394494399,639.594421386719
