UTM_X,UTM_Y,elevation
619740.2052477298,4197611.0999347568,693.122253417969
619750.9252693200,4197588.7691685548,686.433227539062
619765.4835021194,4197558.4432713622,675.790100097656
619783.0029359790,4197521.9492852436,663.848815917969
619799.4323314440,4197487.7262255438,660.507873535156
619823.0201193750,4197438.5924914861,656.585693359375
619836.0048031498,4197411.5454577412,659.097412109375
619852.4436509390,4197377.3036891706,665.453491210938
619864.0856413376,4197353.0538559668,672.11083984375
619885.1759932198,4197309.1238254672,678.198791503906
619899.4649172090,4197279.3610755950,680.451049804688
619909.0840421718,4197259.3252939237,680.758117675781
619932.5470227360,4197210.4544291515,681.71533203125
619947.4966882438,4197179.3162070028,677.43310546875
619960.1419067557,4197152.9780465784,675.560852050781
619970.9192691548,4197130.5305021713,668.082214355469
619983.4182612764,4197104.4972385149,660.298645019531
619994.9219173760,4197080.5372449476,658.230102539062
620004.1065653232,4197061.4074244592,651.634948730469
620015.8786635094,4197036.8885913156,645.190124511719
620040.9230006502,4196984.7269623242,637.643981933594
620052.5150721264,4196960.5835663266,624.44775390625
620066.8248271468,4196930.7801212585,620.105529785156
620079.2264122224,4196904.9510771614,614.264892578125
620089.8295588540,4196882.8678161167,608.2060546875
620099.0643195994,4196863.6346066901,603.114379882812
620116.1851761000,4196827.9773022681,598.452758789062
620128.3349939996,4196802.6732918471,594.2412109375
620139.2751240438,4196779.8887990275,592.125427246094
620158.8461351626,4196739.1295130914,591.0478515625
620171.1523239118,4196713.5004259851,590.952758789062
620191.1008438406,4196671.9556461284,598.696411132812
620206.3382055796,4196640.2226239592,612.10009765625
620217.0911913556,4196617.8288298436,624.513732910156
620237.4537737234,4196575.4227803964,658.571166992188
620258.0038284856,4196532.6267834445,701.792236328125
620272.2045087304,4196503.0537932971,711.409240722656
620283.2444909258,4196480.0631298656,739.824401855469
620295.9142074676,4196453.6787282210,749.288330078125
620311.7769352651,4196420.6452064086,753.208862304688
620332.0405415404,4196378.4474355951,757.285583496094
620345.2418622178,4196350.9567083968,753.770446777344
620355.4940202448,4196329.6075190129,746.655822753906
620366.5102359264,4196306.6673805509,734.792419433594
620386.5591804977,4196264.9178613639,699.841735839844
620396.2240561136,4196244.7920800615,677.055786132812
620410.5994436336,4196214.8574963603,660.497009277344
620420.8336625254,4196193.5464154091,647.706298828125
620436.6715635224,4196160.5668183612,633.398559570312
620454.3470753040,4196123.7610583249,630.526550292969
620464.5066662792,4196102.6058769058,625.342712402344
620474.9733485834,4196080.8113646125,622.16552734375
620485.3181093308,4196059.2708475282,618.067749023438
620506.4501676182,4196015.2687089629,607.392639160156
620556.1134808152,4195911.8594617471,591.459777832031
620566.9664887390,4195889.2616328923,588.510803222656
620582.9843347714,4195855.9099647393,585.318786621094
620596.5781382791,4195827.6057595396,581.143615722656
620611.2945760384,4195796.9643064626,578.70458984375
620628.6636337880,4195760.8000818603,576.455993652344
620646.0699301382,4195724.5586625831,574.572448730469
620660.8144544916,4195693.8595498549,571.4228515625
620673.5053912450,4195667.4363431893,568.954895019531
620695.8265842270,4195620.9628688199,563.686218261719
620721.8142322918,4195566.8564168541,559.806579589844
620735.3593681282,4195538.6556568779,558.955749511719
620746.1162952656,4195516.2600504300,558.3515625
620760.6795385384,4195485.9400126496,557.563537597656
620778.4465327790,4195448.9502275884,562.719970703125
620789.8930485222,4195425.1194763239,566.145202636719
620803.9384879712,4195395.8781700758,567.887268066406
620817.3825098566,4195367.8891671281,570.288208007812
620827.3395194154,4195347.1598784393,572.927795410156
620841.2543780224,4195318.1910136277,575.56103515625
620851.3709397014,4195297.1298288675,579.791809082031
