UTM_X,UTM_Y,elevation
618772.5117962646,4195444.8997548185,710.899108886719
618820.5422214062,4195414.8919574451,710.067626953125
618822.0137986836,4195414.6834412273,710.067626953125
618857.8333924667,4195418.3422659021,713.3125
618859.9708043908,4195418.6844415842,713.3125
618860.3812827830,4195418.8144689770,713.3125
618903.3713556248,4195423.3700712947,709.536499023438
618907.2057414476,4195422.6910932381,709.536499023438
618939.4286936906,4195415.1159882126,697.128479003906
618940.5590175688,4195414.1645180834,697.128479003906
618942.1122004752,4195413.2958702585,697.128479003906
618960.5940658440,4195395.4888248332,684.619934082031
618961.0260238204,4195393.6837681029,684.619934082031
618961.4626035730,4195391.8632410821,684.619934082031
618961.6368974220,4195391.1365125244,684.619934082031
618985.3149979374,4195349.0751719475,668.926635742188
619012.1063937366,4195321.2512444016,660.907775878906
619074.2497962484,4195306.8025394557,651.298095703125
