UTM_X,UTM_Y,elevation
619543.7265736870,4195611.4653536435,678.593444824219
619616.0706362884,4195770.5860092798,698.793090820312
619772.8331427354,4195894.3736921530,685.262390136719
619986.1366749480,4195999.6220715195,687.511779785156
620194.6354972088,4196106.3276715046,672.350708007812
620353.1616090800,4196171.9998038840,643.458374023438
620518.8546637630,4196254.9557386832,668.9541015625
620654.9774725636,4196341.1231678324,685.429870605469
620725.9667933485,4196441.4379619369,712.48291015625
620817.7134602548,4196519.5733781066,715.929016113281
620824.7396155210,4196522.5416261321,715.929016113281
620990.1640039538,4196610.7712993911,679.816345214844
621209.1199220509,4196802.3404463362,627.154724121094
621218.6536833805,4196809.3411760060,621.655944824219
621231.8701339380,4196815.4997636629,621.655944824219
621452.9170953446,4196974.9963152735,591.297241210938
