UTM_X,UTM_Y,elevation
620440.3161242370,4197755.8418797562,580.378784179688
620469.5912518802,4197689.0459272638,578.052001953125
620484.4358579778,4197655.1759824445,575.942504882812
620494.0136877340,4197633.3230431974,575.599304199219
620503.7827582126,4197611.0338905109,575.489440917969
620518.2472694664,4197578.0318313846,573.438293457031
620526.8625144484,4197558.3755206652,573.968139648438
620536.9719278762,4197535.3102803286,574.822570800781
620549.2455383076,4197507.3074743338,576.040710449219
620562.3196407513,4197477.4785275739,576.566711425781
620585.4811946726,4197424.6353189172,577.48046875
620597.3500354426,4197397.5567696225,575.272644042969
620607.9841386731,4197373.2954098629,574.936157226562
620618.9986658088,4197348.1662825858,573.580200195312
620628.2390824996,4197327.0848285165,572.337585449219
620652.2447949784,4197272.3177677002,569.126342773438
620667.5583181038,4197237.3816197393,569.551574707031
620679.6356938744,4197209.8286103001,569.060852050781
620691.1190719638,4197183.6309100036,569.98388671875
620703.4278302264,4197155.5504148221,571.082702636719
620713.0073970050,4197133.6962787900,573.954833984375
620721.5752134190,4197114.1503799073,576.279052734375
620730.2092606951,4197094.4534853837,578.635864257812
620739.5461965096,4197073.1531983819,582.369934082031
620754.3688219244,4197039.3386817323,590.159301757812
620771.6391032538,4196999.9407488899,607.206359863281
620782.6278395382,4196974.8728330163,617.869384765625
620795.8276240522,4196944.7612017225,629.561218261719
620806.4541233964,4196920.5199705679,642.50732421875
620815.6688884478,4196899.4993162602,656.31494140625
620830.0761036390,4196866.6339071393,674.823120117188
620844.8072345860,4196833.0298716882,703.980529785156
620865.1080047070,4196786.7210785924,714.790161132812
620874.8983106860,4196764.3882650957,714.450317382812
620883.6869817036,4196744.3404036919,712.9833984375
620893.6671663192,4196721.5747008035,711.323425292969
620905.4425509894,4196694.7141531771,703.688781738281
620914.1446717050,4196674.8640716812,703.688781738281
620927.5319757221,4196644.3269889513,699.162170410156
620938.3651574655,4196619.6161545385,696.422790527344
620952.6008820080,4196587.1442461787,686.867370605469
620962.6580208654,4196564.2039175043,684.970825195312
620980.7615987490,4196522.9100013198,672.132629394531
620991.4168088688,4196498.6058719428,668.394226074219
621013.1534457670,4196449.0258930121,658.324340820312
621027.8902811828,4196415.4123999691,645.087463378906
621050.5958296279,4196363.6234968165,631.963989257812
621062.3505257086,4196336.8125717109,626.283630371094
621078.3609480796,4196300.2951840647,623.243957519531
621087.7934488000,4196278.7812135657,619.358459472656
621101.0894560900,4196248.4554240750,616.378173828125
621117.0130531534,4196212.1368836528,614.430358886719
621132.1958747286,4196177.5082150120,613.9423828125
621140.8316375784,4196157.8120793421,616.069702148438
621150.7398938646,4196135.2138076527,615.263549804688
621159.8517358468,4196114.4320733137,614.044006347656
621169.0363086550,4196093.4845695933,609.947387695312
621183.1275932718,4196061.3464114619,601.793701171875
621197.9721361016,4196027.4905713284,588.196411132812
621210.4977427236,4195998.9237377588,580.506652832031
621222.2980752868,4195972.0112073580,575.728454589844
621247.3539481828,4195914.8679224029,561.752685546875
621258.5427991708,4195889.3505112510,557.395263671875
621270.7429275234,4195861.5269581759,555.57470703125
621284.2707017806,4195830.6758114705,554.168823242188
621293.0476979612,4195810.6593144322,552.278747558594
621307.1075937026,4195778.5950409090,551.301086425781
621321.1839838560,4195746.4934117990,550.140747070312
621333.9440051562,4195717.3940266743,548.666687011719
