UTM_X,UTM_Y,elevation
618583.2978374908,4196354.5628304845,777.797241210938
618669.5339791859,4196450.8595060147,774.77978515625
618768.2715404800,4196530.0868378188,805.662658691406
618868.6437055320,4196612.2408662830,812.933776855469
618896.1714381472,4196636.3686320502,815.442687988281
618924.0902176702,4196666.1374733597,809.718872070312
618954.1583991066,4196684.4317284403,801.624816894531
618975.4914457962,4196700.4276061831,807.059692382812
618994.3066648176,4196716.9557663202,803.448974609375
619027.7996271672,4196731.1794007896,812.501708984375
619038.2155428558,4196737.2598630385,821.250915527344
619124.2488944018,4196756.7179656262,821.825561523438
619134.2889054804,4196756.5317353308,817.18408203125
619237.3282736114,4196726.1113304058,806.617736816406
619252.6746757106,4196721.6580723487,818.528076171875
619330.6617902872,4196707.5328884535,784.140075683594
619370.6444314270,4196707.5378033957,769.289184570312
619440.1042419798,4196715.2091092411,757.010925292969
619479.5707599836,4196726.1592627103,752.269470214844
619520.9346030860,4196741.6373657323,742.252197265625
619554.0238537546,4196761.7506530378,734.08447265625
619588.4166239082,4196777.2688128380,723.882690429688
619601.0989725300,4196783.6213578880,721.163391113281
619620.6616875036,4196792.3846516637,715.382507324219
619657.6124556332,4196825.1349692261,700.4453125
619663.6509860518,4196833.0371428253,700.4453125
619668.1719351280,4196839.1523293070,700.4453125
619672.4121625796,4196846.4631327847,689.107604980469
619702.4040412174,4196933.1655398188,657.055541992188
619705.0501524598,4196940.2240137188,657.055541992188
619706.3098171174,4196944.4179942459,657.055541992188
619704.3796464606,4196965.4205275020,639.789794921875
