UTM_X,UTM_Y,elevation
619130.0727589232,4195780.3291186737,701.110900878906
619279.0748010690,4195938.3193307398,704.461608886719
619455.6862956688,4196041.9904555660,679.980590820312
619773.6897121506,4196169.9989805566,722.453186035156
619968.1105895882,4196295.5222808840,709.826538085938
620193.3926359768,4196428.3226615833,725.357360839844
620346.6093181906,4196548.6347038336,740.767211914062
620489.7084729052,4196746.4299000548,692.153747558594
620600.8033753030,4196854.8635010691,647.639099121094
620838.4223640226,4196967.0616128771,636.115783691406
621042.4828800142,4197116.3446215335,603.76416015625
621127.4817953862,4197171.4213578478,594.180541992188
621212.4259271869,4197254.8833688144,584.183898925781
