x,y,z,t
618830.2724999352,4196691.816356717,775.6418115732025,4242071.794257822
618833.2494217453,4196686.692361736,765.3176968633308,4242067.159350022
618836.1539535875,4196681.6929672165,755.4064441483915,4242062.6371526215
618838.9889797182,4196676.813208662,745.884936642062,4242058.223174766
618841.7573031225,4196672.048261467,736.7310642449212,4242053.913052157
618844.4616499299,4196667.393433308,727.9236952483951,4242049.702540166
618847.1046737082,4196662.84415676,719.4426484027642,4242045.587507157
618849.6889596476,4196658.395982092,711.2686653492307,4242041.563927968
618852.2170286234,4196654.044570275,703.3833834160521,4242037.627877585
618854.6913411474,4196649.785686177,695.7693087787309,4242033.775524988
618857.1143012017,4196645.615191973,688.4097899842744,4242030.003127185
618859.4882599561,4196641.529040733,681.288991839509,4242026.307023415
618861.8155193712,4196637.523270234,674.3918696634605,4242022.683629551
618864.0983356847,4196633.593996951,667.7041439037964,4242019.129432659
618866.3389227832,4196629.737410256,661.2122751173288,4242015.6409857515
618868.5394554562,4196625.949766814,654.9034393145809,4242012.214902727
618870.7020725362,4196622.227385182,648.7655036684143,4242008.84785347
618872.8288799227,4196618.566640603,642.7870025867203,4242005.536559149
618874.9219534907,4196614.963960002,636.9571141491708,4242002.27778769
618876.98334188,4196611.415817177,631.265636908033,4241999.068349426
618879.015069176,4196607.918728193,625.7029670530458,4241995.905092929
618881.0191374674,4196604.469246977,620.2600759403589,4241992.784901022
618882.9975292932,4196601.063961104,614.9284879855326,4241989.704686977
618884.95220997,4196597.699487792,609.7002589206007,4241986.661390883
618886.885129807,4196594.372470095,604.5679544151955,4241983.651976201
618888.7982262035,4196591.079573285,599.5246290617345,4241980.6734265
618890.6934256309,4196587.817481441,594.56380572467,4241977.722742366
618892.5726454988,4196584.582894245,589.679455253799,4241974.7969385
618894.4377959057,4196581.372523959,584.8659765616376,4241971.893040993
618896.2907812742,4196578.183092615,580.1181770648557,4241969.008084775
618898.1335018703,4196575.011329402,575.4312534897756,4241966.139111257
618899.9678552055,4196571.853968247,570.8007730419288,4241963.28316614
618901.7957373254,4196568.707745602,566.2226549396813,4241960.437297416
618903.6190439819,4196565.5693984255,561.693152311914,4241957.598553535
618905.4396716884,4196562.435662364,557.208834459771,4241954.763981771
618907.2595186608,4196559.303270132,552.7665694824661,4241951.930626748
618909.0804856424,4196556.168950096,548.3635072671535,4241949.095529163
618910.9044766113,4196553.029425055,543.9970628428599,4241946.255724683
618912.733399376,4196549.881411212,539.6649000984785,4241943.408243012
618914.5691660512,4196546.721617361,535.3649158648255,4241940.550107158
618916.4136934194,4196543.546744259,531.0952243607594,4241937.678332864
618918.2689031776,4196540.353484209,526.8541420033596,4241934.789928232
618920.1367220675,4196537.138520825,522.6401725821715,4241931.88189351
618922.0190818887,4196533.898529016,518.4519927975093,4241928.951221077
618923.9179193994,4196530.630175161,514.288438162824,4241925.994895601
618925.8351760979,4196527.330117475,510.1484892711319,4241923.009894373
618927.7727978905,4196523.995006587,506.03125842550645,4241919.993187826
618929.7327346426,4196520.621486313,501.93597663363045,4241916.941740237
618931.7169396147,4196517.206194623,497.8619809664116,4241913.852510603
618933.727368783,4196513.745764815,493.8087022806611,4241910.722453698
618935.765980042,4196510.236826883,489.77565330583127,4241907.548521316
618937.8347322952,4196506.676009086,485.76241709481866,4241904.327663689
618939.9355844262,4196503.059939715,481.76863583882687,4241901.056831081
618942.0704941563,4196499.385249065,477.79400004629315,4241897.732975581
618944.2414167861,4196495.648571594,473.8382380858758,4241894.353053046
618946.450303821,4196491.846548296,469.90110609350427,4241890.914025256
618948.6991014803,4196487.9758292595,465.98237824349155,4241887.412862224
618950.9897490925,4196484.033076437,462.0818373837084,4241883.846544701
618953.3241773727,4196480.014966605,458.19926603481906,4241880.212066854
618955.7043065858,4196475.91819453,454.3344377535809,4241876.506439135
618958.1320445926,4196471.739476324,450.4871088602039,4241872.726691311
618960.6092847813,4196467.475553016,446.65701052977397,4241868.869875694
618963.137903884,4196463.123194299,442.8438412477374,4241864.933070532
618965.7197596743,4196458.679202499,439.0472596294479,4241860.913383605
618968.3566885525,4196454.140416733,435.2668776037756,4241856.807955977
618971.0505030137,4196449.503717263,431.5022539607778,4241852.613965939
618973.8029889995,4196444.7660300555,427.7528882634325,4241848.328633134
618976.615903136,4196439.9243315365,424.01821512343395,4241843.949222858
618979.490969853,4196434.975653551,420.2975988410493,4241839.473050543
618982.4298783906,4196429.91708851,416.5903284090387,4241834.89748642
618985.434279688,4196424.745794754,412.8956128806368,4241830.219960363
618988.5057831574,4196419.459002098,409.2125771015965,4241825.437966905
618991.6459533417,4196414.05401759,405.5402578062941,4241820.549070455
618994.8563064573,4196408.528231459,401.87760007789853,4241815.5509106675
618998.1383068198,4196402.879123267,398.22345417260016,4241810.441208017
619001.4933631555,4196397.1042682575,394.5765727079036,4241805.217769532
619004.922824796,4196391.20134391,390.93560821498164,4241799.878494731
619008.4279777574,4196385.168136681,387.2991110550918,4241794.421381713
619012.0100407039,4196379.00254896,383.66552770005455,4241788.844533452
619015.6701607958,4196372.702606208,380.0331993767941,4241783.146164258
619019.4094094211,4196366.266464309,376.4003610759407,4241777.32460642
619023.2287778128,4196359.692417116,372.7651409244959,4241771.378317033
619027.1291725474,4196352.978904193,369.1255599225591,4241765.305885004
619031.1114109319,4196346.124518758,365.4795320441161,4241759.1060382305
619035.1762162722,4196339.128015828,361.82486470189144,4241752.777650974
619039.3242130253,4196331.988320566,358.15925957625996,4241746.3197514005
619043.5559218386,4196324.7045368105,354.4803138082234,4241739.731529306
619047.8717544704,4196317.275955828,350.78552155644684,4241733.01234402
619052.272008597,4196309.702065246,347.0722759183591,4241726.1617324995
619056.7568625025,4196301.982558195,343.3378712153134,4241719.179417581
619061.326369653,4196294.117342647,339.5795056418116,4241712.065316441
619065.9804531564,4196286.1065509515,335.79428427879,4241704.819549208
619070.7189001056,4196277.950549574,331.979222470967,4241697.442447778
619075.5413558047,4196269.649949028,328.13124956825345,4241689.934564798
619080.4473178819,4196261.205614019,324.24721303122436,4241682.296682831
619085.4361302844,4196252.618673769,320.32388290065336,4241674.529823697
619090.5069771599,4196243.890532555,316.3579566311088,4241666.635258012
619095.658876619,4196235.022880444,312.34606428861287,4241658.614514883
619100.8906743858,4196226.017704222,308.2847741123611,4241650.469391797
619106.201037331,4196216.877298523,304.1705984405056,4241642.201964688
