x,y,z
619371.2707913968,4196936.369721724,672.0040839211895
619373.2058837418,4196932.868721059,667.1074743183996
619375.141546427,4196929.366688525,662.1793719988731
619377.0783338286,4196925.862621137,657.2218643860656
619379.0167829087,4196922.355547411,652.2370225844135
619380.957413213,4196918.84452738,647.2269013793332
619382.9007268737,4196915.328652577,642.1935392372212
619384.8472086071,4196911.807046045,637.1389583054544
619386.7973257151,4196908.278862333,632.0651644123893
619388.7515280837,4196904.743287501,626.974147067363
619390.710248185,4196901.199539114,621.8678794606925
619392.6739010756,4196897.646866243,616.748318463675
619394.6428843973,4196894.084549471,611.6174046285879
619396.6175783771,4196890.511900881,606.4770621886889
619398.5983458265,4196886.928264071,601.3291990582154
619400.5855321424,4196883.333014144,596.1757068323853
619402.5794653068,4196879.725557708,591.0184607873966
619404.5804558864,4196876.105332881,585.8593198804274
619406.5887970336,4196872.471809288,580.700126749636
619408.6047644848,4196868.824488061,575.5427077141605
619410.6286165625,4196865.162901837,570.3888727741194
619412.6605941731,4196861.486614768,565.2404156106113
619414.7009208094,4196857.795222506,560.0991135857154
619416.749802548,4196854.088352212,554.9667277424902
619418.8074280513,4196850.365662556,549.8450028049749
619420.8739685663,4196846.626843716,544.7356671781888
619422.9495779253,4196842.871617376,539.6404329481312
619425.0343925457,4196839.099736726,534.5609958817817
619427.1285314296,4196835.310986466,529.4990354270997
619429.232096164,4196831.505182803,524.4562147130249
619431.345170922,4196827.6821734505,519.4341805494776
619433.4678224605,4196823.841837631,514.4345634273574
619435.6001001217,4196819.984086072,509.4589775185449
619437.7420358334,4196816.1088610105,504.5090206759003
619439.8936441079,4196812.216136191,499.586274433264
619442.0549220429,4196808.305916864,494.69230400545666
619444.225849321,4196804.378239788,489.82865828827914
619446.4063882091,4196800.43317323,484.99686985851224
619448.5964835606,4196796.470816962,480.1984549739169
619450.7960628127,4196792.491302267,475.4349135732343
619453.0050359883,4196788.4947919315,470.70772927618617
619455.2232956948,4196784.481480253,466.01836938347355
619457.4507171254,4196780.451593033,461.36828487677826
619459.6871580575,4196776.405387585,456.7589104187617
619461.9324588538,4196772.343152725,452.19166435306613
619464.1864424624,4196768.26520878,447.6679487043134
619466.4489144163,4196764.171907581,443.1891491781058
619468.719662833,4196760.063632471,438.7566351610256
619470.9984584157,4196755.940798297,434.37175972063505
619473.2850544524,4196751.803851414,430.03585960547707
619475.579186816,4196747.653269686,425.75025524507436
619477.8805739644,4196743.489562482,421.51625074992955
619480.1889169412,4196739.31327068,417.3351339115259
619482.5038993738,4196735.124966666,413.20817620232634
619484.8251874757,4196730.925254332,409.13663277577433
619487.1524300452,4196726.7147690775,405.1217424662933
619489.4852584652,4196722.494177813,401.16472778928676
619491.823286704,4196718.264178949,397.2667949411385
619494.166111315,4196714.025502412,393.4291337992123
619496.5133114365,4196709.77890963,389.65291792185224
619498.8644487916,4196705.525193539,385.9393045483825
619501.2190676889,4196701.265178586,382.28943459910727
619503.5766950218,4196696.999720723,378.7044326753109
619505.9368402687,4196692.729707409,375.1854070592582
619508.2989954929,4196688.45605761,371.7334497141937
619510.662635343,4196684.179721802,368.34963628434235
619513.0272170526,4196679.901681966,365.0350260949091
619515.3921804404,4196675.622951592,361.79066215207894
619517.7569479097,4196671.344575677,358.61757114301747
619520.1209244492,4196667.067630725,355.51676343586985
619522.4834976326,4196662.793224748,352.48923307976156
619524.8440376187,4196658.522497265,349.53595780479867
619527.2018971511,4196654.256619302,346.65789902206666
619529.5564115586,4196649.996793393,343.8560018236316
619531.9068987551,4196645.744253581,341.1311949825397
619534.2526592393,4196641.500265413,338.48439095281714
619536.592976095,4196637.266125947,335.91648586947036
619538.9271149914,4196633.0431637475,333.4283595484859
619541.2543241819,4196628.832738883,331.02087548683045
619543.573834506,4196624.6362429345,328.6948808624508
619545.8848593875,4196620.455098986,326.45120653427387
619548.1865948355,4196616.290761634,324.29066704220696
619550.4782194437,4196612.144716977,322.21406060713707
619552.7588943917,4196608.018482624,320.2221691309318
619555.0277634433,4196603.913607691,318.3157581964386
619557.2839529478,4196599.8316728035,316.49557706748504
619559.5265718393,4196595.7742900895,314.76235868887915
619561.7547116372,4196591.743103188,313.1168196864087
619563.9674464455,4196587.739787246,311.5596603668419
619566.1638329537,4196583.766048915,310.0915647179269
619568.3429104362,4196579.823626356,308.71320040839214
619570.5037007518,4196575.914289237,307.42521878794605
619572.6452083455,4196572.039838734,306.22825488727744
619574.7664202468,4196568.20210753,305.1229274180549
619576.8663060698,4196564.402959813,304.1098387729276
619578.943818014,4196560.6442912845,303.18957502552445
619580.997890864,4196556.928029148,302.3627059304548
619583.0274419895,4196553.256132115,301.62978492330797
619585.0313713447,4196549.630590407,300.9913491206534
619587.0085614698,4196546.053425752,300.4479193200409
