x,y,z
620177.1195929344,4196701.243906435,594.9194153788818
620178.8768115608,4196697.584545393,591.0610035844865
620180.6844260773,4196693.820236251,587.0849169112948
620182.5409015036,4196689.9541755635,582.9994198643275
620184.4447184446,4196685.989527432,578.8126053292642
620186.3943730879,4196681.9294235045,574.5323945724452
620188.388377205,4196677.776962979,570.16653724087
620190.4252581503,4196673.535212597,565.7226113621974
620192.5035588633,4196669.207206652,561.2080233447468
620194.6218378647,4196664.795946985,556.6300079774962
620196.7786692608,4196660.304402981,551.9956284300845
620198.9726427405,4196655.735511577,547.3117762528092
620201.2023635764,4196651.092177254,542.5851713766282
620203.4664526245,4196646.377272043,537.8223621131586
620205.7635463248,4196641.593635523,533.0297251546779
620208.0922967006,4196636.744074818,528.2134655741224
620210.4513713584,4196631.831364602,523.3796168250889
620212.8394534886,4196626.858247097,518.534040741833
620215.2552418656,4196621.82743207,513.6824275392713
620217.6974508461,4196616.741596838,508.8302958129785
620220.1648103715,4196611.603386267,503.98299253919004
620222.6560659662,4196606.415412767,499.14569307480093
620225.1699787384,4196601.180256297,494.32340115736577
620227.7053253797,4196595.900464364,489.52094890509863
620230.2608981653,4196590.578552025,484.74299681687364
620232.8355049539,4196585.217001881,479.9940337722244
620235.4279691876,4196579.818264083,475.2783770313441
620238.0371298925,4196574.384756327,470.6001722350859
620240.6618416777,4196568.91886386,465.9633934049626
620243.3009747361,4196563.422939476,461.37184294314636
620245.9534148446,4196557.899303514,456.82915163246946
620248.6180633625,4196552.350243863,452.3387786364237
620251.2938372339,4196546.77801596,447.9040114991604
620253.9796689858,4196541.184842789,443.52796614549095
620256.6745067285,4196535.572914881,439.21358688088617
620259.3773141567,4196529.944390316,434.96364639147646
620262.0870705479,4196524.30139472,430.7807457440522
620264.8027707633,4196518.646021267,426.66731438606325
620267.5234252474,4196512.980330682,422.62561014561925
620270.2480600292,4196507.306351233,418.6577192314895
620272.9757167201,4196501.626078739,414.7655562331031
620275.705452516,4196495.941476564,410.9508641205486
620278.4363401957,4196490.2544756215,407.21521424457467
620281.1674681216,4196484.5669743735,403.560006336589
620283.8979402399,4196478.880838826,399.9864685086596
620286.6268760804,4196473.197902536,396.49565725351385
620289.3534107561,4196467.519966609,393.088457444539
620292.0766949637,4196461.848799694,389.7655823357818
620294.7958949836,4196456.186137993,386.5275735619488
620297.5101926797,4196450.53368525,383.37480113840627
620300.2187854993,4196444.89311276,380.3074634611801
620302.9208864733,4196439.266059367,377.325587306956
620305.6157242162,4196433.654131458,374.429027833079
620308.3025429259,4196428.058902974,371.6174685775544
620310.9806023841,4196422.481915398,368.8904214590466
620313.6491779557,4196416.924677762,366.24722677688027
620316.3075605897,4196411.388666648,363.68705321103926
620318.955056818,4196405.875326185,361.2088978221674
620321.5909887564,4196400.386068047,358.81158605156804
620324.2146941044,4196394.922271458,356.49377172120444
620326.8255261446,4196389.485283192,354.25393703369934
620329.4228537434,4196384.076417565,352.0903925723353
620332.0060613508,4196378.696956444,350.00127730105464
620334.5745490001,4196373.348149245,347.984558564459
620337.1277323087,4196368.031212927,346.03803208781017
620339.6650424767,4196362.747332003,344.1593219770293
620342.1859262887,4196357.497658527,342.3458807186975
620344.6898461119,4196352.283312108,340.5949891800554
620347.1762798977,4196347.105379897,338.90375660900327
620349.644721181,4196341.964916592,337.2691206341012
620352.09467908,4196336.862944446,335.687847264569
620354.5256782962,4196331.800453249,334.1565308902859
620356.9372591155,4196326.7784003485,332.6715942817912
620359.3289774065,4196321.797710636,331.22928859028366
620361.700404622,4196316.859276546,329.82569334762184
620364.0511277977,4196311.96395807,328.45671646632377
620366.3807495533,4196307.112582739,327.1180942395674
620368.688888092,4196302.305945636,325.80539134119044
620370.9751772003,4196297.544809391,324.51400082568995
620373.2392662485,4196292.82990418,323.239144128223
620375.4808201905,4196288.161927729,321.9758710646062
620377.6995195631,4196283.541545309,320.71905983131586
620379.895060488,4196278.969389741,319.4634170054881
620382.0671546687,4196274.446061395,318.2034775449186
620384.215529394,4196269.972128184,316.9336047880627
620386.3399275345,4196265.548125572,315.6479904540356
620388.4401075459,4196261.174556569,314.3406546426119
620390.5158434666,4196256.851891736,313.0054458342263
620392.5669249187,4196252.580569177,311.636040889973
620394.5931571077,4196248.360994548,310.22594505160566
620396.5943608229,4196244.193541049,308.76849194153795
620398.5703724372,4196240.078549431,307.256843562843
620400.5210439069,4196236.016327989,305.68399029925394
620402.4462427718,4196232.0071525695,304.04275091516325
620404.3458521554,4196228.051266564,302.3257725556233
620406.2197707648,4196224.148880912,300.52553074634613
620408.0679128898,4196220.300174103,298.6343293937033
620409.8902084052,4196216.505292172,296.64430078472645
620411.6866027681,4196212.764348701,294.5474055871064
620413.4570570199,4196209.077424821,292.33543284919415
