x,y,z
618683.4844051361,4195804.222016204,799.7867789349853
618685.351237954,4195800.684145988,787.943826295699
618687.2186229536,4195797.145229321,776.3925412785891
618689.0870999963,4195793.604243103,765.1249705242019
618690.9571955024,4195790.060189704,754.1332950219099
618692.8294224525,4195786.512096967,743.4098301099136
618694.704280386,4195782.959018202,732.9470254752395
618696.5822554019,4195779.400032194,722.7374651537411
618698.4638201593,4195775.834243201,712.7738675300999
618700.3494338753,4195772.260780948,703.0490853378224
618702.2395423282,4195768.678800636,693.5561056592439
618704.1345778547,4195765.087482932,684.2880499255257
618706.0349593514,4195761.48603398,675.2381739166564
618707.941092274,4195757.873685391,666.3998677614512
618709.8533686382,4195754.24969425,657.766655937553
618711.7721670187,4195750.613343111,649.3321972714305
618713.69785255,4195746.963940004,641.0902849383804
618715.6307769257,4195743.300818425,633.0348464625256
618717.5712783997,4195739.623337343,625.1599437168167
618719.5196817839,4195735.930881202,617.4597729230301
618721.4762984507,4195732.222859914,609.92866465177
618723.4414263323,4195728.498708862,602.5610838224678
618725.4153499196,4195724.7578889,595.3516297033811
618727.3983402634,4195720.999886357,588.2950359115947
618729.3906549736,4195717.224213032,581.3861704130206
618731.3925382197,4195713.430406192,574.6200355223976
618733.4042207312,4195709.618028579,567.9917679032914
618735.4259197963,4195705.786668406,561.4966385680943
618737.4578392634,4195701.935939355,555.1300528780263
618739.5001695394,4195698.065480583,548.8875505431336
618741.5530875917,4195694.174956717,542.7648056222899
618743.6167569465,4195690.264057852,536.7576265231955
618745.6913276898,4195686.332499561,530.8619560023778
618747.7769364672,4195682.380022882,525.0738711651912
618749.873706483,4195678.406394328,519.3895834658169
618751.981747502,4195674.411405883,513.8054387072632
618754.1011558479,4195670.394875002,508.31791704136504
618756.2320144037,4195666.356644611,502.92363296878443
618758.3743926124,4195662.296583108,497.6193353390107
618760.5283464759,4195658.214584362,492.4019073503596
618762.6939185562,4195654.110567714,487.2683665499741
618764.8711379743,4195649.9844779745,482.2158648338241
618767.0600204109,4195645.836285429,477.2416884467066
618769.2605681058,4195641.665985831,472.34325798224495
618771.472769859,4195637.473600407,467.51812838289004
618773.6966010293,4195633.259175854,462.7639889399196
618775.932023535,4195629.022784342,458.0786632934381
618778.1789858546,4195624.76452351,453.4601094323771
618780.4374230248,4195620.484516472,448.90641969449507
618782.7072566433,4195616.182911809,444.41582076637735
618784.988394866,4195611.859883576,439.9866736834366
618787.2807324089,4195607.5156312995,435.6174738299119
618789.5841505474,4195603.150379976,431.3068509388694
618791.8985171162,4195598.764380076,427.05356909220245
618794.2236865096,4195594.357907537,422.8565267206312
618796.5594996815,4195589.931263774,418.71475660370277
618798.9057841448,4195585.484775667,414.62742586979095
618801.2623539725,4195581.018795572,410.593835996097
618803.6290097965,4195576.533701313,406.6134228086488
618806.0055388086,4195572.029896189,402.68575648230103
618808.3917147601,4195567.507808968,398.8105415407357
618810.7872979611,4195562.967893891,394.9876168564613
618813.1920352821,4195558.410630667,391.21695565081376
618815.6056601524,4195553.83652448,387.49866549395574
618818.0278925612,4195549.246105985,383.8329883048766
618820.4584390565,4195544.639931305,380.2203003513931
618822.8969927465,4195540.01858204,376.66111225014856
618825.3432332987,4195535.382665257,373.1560689666135
618827.7968269401,4195530.732813495,369.7059498150853
618830.2574264568,4195526.069684766,366.31166845868813
618832.7246711947,4195521.393962554,362.9742729093733
618835.198187059,4195516.70635581,359.6949455279192
618837.6775865147,4195512.007598962,356.47500302393064
618840.1624685857,4195507.298451904,353.3158964558399
618842.6524188562,4195502.579700007,350.21921123090596
618845.1470094689,4195497.852154108,347.1866671052148
618847.6457991266,4195493.116650521,344.22011818367935
618850.1483330915,4195488.374051026,341.32155292003944
618852.6541431851,4195483.625242877,338.4930941168619
618855.1627477887,4195478.871138799,335.7369989255405
618857.6736518427,4195474.112676989,333.055658846296
618860.1863468472,4195469.350821116,330.4515997281759
618862.7003108612,4195464.586560318,327.92748176905485
618865.2150085043,4195459.820909206,325.48609951563424
618867.7298909547,4195455.054907862,323.13038186344284
618870.2443959502,4195450.289621839,320.8633920568358
618872.7579477881,4195445.526142165,318.6883276889956
618875.2699573257,4195440.765585332,316.60852070193164
618877.7798219788,4195436.009093311,314.62743738648
618880.2869257232,4195431.25783354,312.74867838230386
618882.7906390947,4195426.512998928,310.9759786778935
618885.2903191872,4195421.775807861,309.3132076105659
618887.7853096557,4195417.0475041885,307.7643688664652
618890.2749407134,4195412.329357238,306.3336004805622
618892.7585291339,4195407.622661802,305.02517483665497
618895.2353782492,4195402.928738151,303.84349866736835
618897.7047779518,4195398.2489320235,302.7931130541541
618900.1660046931,4195393.58461463,301.8786934272909
618902.6183214841,4195388.937182652,301.1050495658846
618905.0609778955,4195384.308058241,300.47712559786777
