UTM_X,UTM_Y,elevation
618560.5759945456,4196403.8039837889,766.682800292969
618666.8552431534,4196546.0053243851,760.528686523438
618837.7074225792,4196698.4502567546,776.329406738281
619021.0156829752,4196821.1861702828,763.391174316406
619307.2132136390,4196919.8144153031,678.373352050781
619596.9901143950,4196994.7055609478,649.560729980469
619820.2597082028,4196965.1588066248,616.61474609375
619971.3923096382,4196849.6368784113,604.218078613281
620062.4674906882,4196759.6512870295,591.135070800781
620168.3771030854,4196705.6935956413,591.308959960938
620257.3844165262,4196660.3912974708,628.067016601562
