x,y,z
619394.6428843973,4196894.084549471,611.6174046285879
619400.4218095014,4196883.629223821,614.9512318616823
619406.1488455932,4196873.267776617,617.88831339373
619411.8243604873,4196862.999542407,620.4379504298746
619417.4487350079,4196852.823832194,622.6094308571627
619423.0223629893,4196842.73993345,624.4120292445438
619428.5456512755,4196832.747110104,625.8550068428704
619434.0190197214,4196822.844602548,626.9476115848986
619439.4429011908,4196813.031627637,627.6990780852875
619444.817741558,4196803.30737869,628.1186276405984
619450.1439997073,4196793.671025483,628.2154682292963
619455.4221475328,4196784.121714261,627.9987945117497
619460.652669939,4196774.658567726,627.4777878302289
619465.8360648401,4196765.280685041,626.6616162089086
619470.9728431599,4196755.987141836,625.5594343538661
619476.063528833,4196746.776990201,624.1803836530812
619481.1086588035,4196737.649258686,622.5335921764374
619486.1087830255,4196728.602952306,620.6281746757212
619491.0644644634,4196719.637052537,618.473232584622
619495.976279091,4196710.750517318,616.0778540187323
619500.8448158924,4196701.942281048,613.4511137755476
619505.6706768621,4196693.211254589,610.6020733344664
619510.4544770038,4196684.556325268,607.5397808567908
619515.196844332,4196675.976356869,604.2732711857251
619519.8984198705,4196667.470189642,600.8115658463776
619524.5598576537,4196659.036640297,597.1636730457587
619529.1818247252,4196650.674502009,593.3385876727829
619533.7650011395,4196642.38254441,589.3452912982666
619538.3100799605,4196634.159513599,585.1927521749303
619542.817767262,4196626.004132137,580.8899252373969
619547.2887821286,4196617.915099042,576.4457521021928
619551.7238566538,4196609.891089799,571.8691610677472
619556.123735942,4196601.930756354,567.1690671143923
619560.4891781067,4196594.032727115,562.3543719043635
619564.8209542723,4196586.195606951,557.4339637817993
619569.1198485726,4196578.417977194,552.4167177727413
619573.3866581519,4196570.698395639,547.311495585134
619577.6221931635,4196563.035396542,542.1271456088251
619581.8272767719,4196555.427490622,536.8725029155651
619586.0027451507,4196547.873165058,531.5563892590078
619590.1494474842,4196540.370883493,526.1876130747103
619594.2682459659,4196532.919086032,520.774969480132
619598.3600158001,4196525.516189241,515.3272402746363
619602.4256452003,4196518.16058615,509.8531939394891
619606.4660353905,4196510.850646251,504.3615856378592
619610.4821006048,4196503.584715495,498.86115721481895
619614.4747680867,4196496.3611162985,493.36063719734375
619618.4449780902,4196489.178147539,487.86874079431146
619622.3936838789,4196482.034084555,482.3941698965035
619626.3218517273,4196474.9271791475,476.94561307660445
619630.230460919,4196467.855659583,471.5317455892017
619634.1205037471,4196460.817730585,466.1612293707857
619637.9929855161,4196453.811573342,460.8427130397499
619641.8489245395,4196446.835345505,455.5848318963913
619645.6893521415,4196439.887181184,450.3962079229092
619649.5153126551,4196432.965190957,445.28544978340653
619653.3278634248,4196426.067461858,440.2611528238891
619657.1280748037,4196419.192057384,435.33189907226586
619660.9170301559,4196412.337017499,430.50625723834867
619664.695825855,4196405.500358623,425.79278271385255
619668.4655712848,4196398.680073643,421.2000175723955
619672.2273888391,4196391.874131905,416.73649056949887
619675.9824139213,4196385.080479218,412.41071714258663
619679.7317949451,4196378.297037853,408.23119941098616
619683.4766933345,4196371.521706544,404.20642617592785
619687.2182835228,4196364.7523604855,400.34487292054484
619690.9577529536,4196357.986851337,396.65500180987385
619694.6963020809,4196351.223007217,393.1452616908542
619698.4351443681,4196344.458632707,389.8240880923287
619702.1755062889,4196337.691508851,386.6999032250426
619705.9186273266,4196330.919393155,383.7811159816449
619709.6657599752,4196324.140019587,381.0761219366873
619713.4181697378,4196317.351098579,378.59330334662457
619717.1771351285,4196310.550317022,376.34102914981463
619720.9439476707,4196303.73533827,374.3276549665185
619724.7199118978,4196296.90380214,372.56152309889995
619728.5063453533,4196290.053324911,371.0509625310263
619732.3045785908,4196283.181499324,369.8042889288676
619736.1159551737,4196276.285894581,368.8298046402971
619739.9418316758,4196269.364056348,368.13579869509095
619743.7835776804,4196262.413506753,367.7305468049285
619747.642575781,4196255.431744384,367.6223113633922
619751.5202215809,4196248.416244292,367.81934144596744
619755.417923694,4196241.36445799,368.32987281004284
619759.3371037433,4196234.273813457,369.16212789490976
619763.2791963625,4196227.141715128,370.32431582176304
619767.2456491948,4196219.9655439025,371.8246323937003
619771.2379228937,4196212.742657145,373.6712600957223
619775.2574911228,4196205.470388677,375.8723680947329
619779.3058405553,4196198.146048786,378.4361122395389
619783.3844708747,4196190.766924221,381.37063506085036
619787.4948947743,4196183.33027819,384.6840657712801
619791.6386379572,4196175.833350369,388.3845202653444
619795.8172391374,4196168.273356889,392.48010111946235
619800.0322500375,4196160.6474903505,396.978897591956
619804.2852353913,4196152.952919809,401.88898562305087
619808.5777729423,4196145.186790788,407.21842783487506
619812.9114534431,4196137.34622527,412.97527353146006
619817.2878806575,4196129.4283217,419.1675586987402
619821.7086713589,4196121.430154984,425.8033060045532
