x,y,z,t
619580.6192945719,4195400.289922617,459.2927070043588,4240903.646216007
619582.7178976714,4195396.677724369,461.5545316704861,4240900.379374424
619584.9900795419,4195392.766755507,463.4912074610295,4240896.842329025
619587.4287100302,4195388.569288735,465.11431309639545,4240893.0461795535
619590.0268084817,4195384.097339427,466.43529512724,4240889.001793032
619592.7775437415,4195379.362665638,467.46546793446896,4240884.719803771
619595.6742341543,4195374.376768095,468.2160137292378,4240880.210613353
619598.7103475635,4195369.150890204,468.6979825529516,4240875.484390641
619601.8795013124,4195363.696018044,468.9222922772655,4240870.551071766
619605.175462243,4195358.022880373,468.8997286040834,4240865.42036013
619608.5921466972,4195352.141948621,468.64094506555983,4240860.101726404
619612.1236205159,4195346.063436897,468.1564630240987,4240854.604408526
619615.7640990397,4195339.797301984,467.4566716723535,4240848.937411694
619619.5079471081,4195333.353243343,466.5518280332275,4240843.109508373
619623.3496790604,4195326.740703109,465.45205695987346,4240837.129238291
619627.2839587347,4195319.968866093,464.16735113569405,4240831.004908434
619631.3055994689,4195313.046659783,462.70757107434156,4240824.7445930485
619635.4095640999,4195305.982754342,461.08244511971805,4240818.356133643
619639.5909649641,4195298.785562608,459.30156944597513,4240811.8471389795
619643.8450638974,4195291.463240097,457.3744080575139,4240805.224985086
619648.1672722343,4195284.023685,455.3102927889855,4240798.496815245
619652.5531508096,4195276.474538183,453.11842330529043,4240791.669539997
619656.9984099568,4195268.823183187,450.8078671015794,4240784.749837143
619661.498909509,4195261.076746234,448.3875595032522,4240777.744151743
619666.0506587985,4195253.242096215,445.8663036659585,4240770.658696114
619670.6498166571,4195245.3258447,443.2527705755979,4240763.499449834
619675.2926914158,4195237.334345938,440.55549904831935,4240756.272159743
619679.9757409048,4195229.273696847,437.78289573052166,4240748.982339939
619684.6955724538,4195221.149737028,434.9432350988533,4240741.635271784
619689.4489428918,4195212.968048754,432.0446594602122,4240734.2360039
619694.2327585475,4195204.733956972,429.09517895174645,4240726.789352173
619699.0440752481,4195196.452529309,426.1026715408534,4240719.299899756
619703.8800983209,4195188.128576066,423.0748830251802,4240711.771997063
619708.7381825921,4195179.76665022,420.0194270326237,4240704.209761777
619713.6158323875,4195171.371047425,416.94378502133054,4240696.617078848
