x,y,z
618711.7721670187,4195750.613343111,649.3321972714305
618717.4999746258,4195739.758466476,646.8639411898345
618723.0225687699,4195729.292493758,644.3885973054862
618728.3493189695,4195719.197668607,641.900735494522
618733.489494499,4195709.456424647,639.3952704477414
618738.4522646687,4195700.051384943,636.8674544786223
618743.2466991048,4195690.965361474,634.312870331333
618747.8817680307,4195682.1813546,631.7274239887472
618752.3663425446,4195673.682552536,629.1073374804574
618756.7091949008,4195665.452330817,626.4491416907872
618760.9189987911,4195657.474251763,623.749669166807
618765.0043296218,4195649.732063962,621.0060469263464
618768.9736647967,4195642.209701723,618.2156892660078
618772.835383995,4195634.891284561,615.3762905691805
618776.5977694521,4195627.76111665,612.4858181140538
618780.2690062398,4195620.80368631,609.5425048816315
618783.8571825463,4195614.003665459,606.5448423637449
618787.3702899553,4195607.345909098,603.4915733710659
618790.8162237275,4195600.815454767,600.3816848411218
618794.2027830791,4195594.397522025,597.214400646308
618797.537671463,4195588.077511912,593.9891744019026
618800.8284968482,4195581.841006422,590.7056822740785
618804.0827720003,4195575.673767972,587.3638157879194
618807.3079147605,4195569.561738866,583.9636746354307
618810.5112483266,4195563.49104078,580.505559483555
618813.7000015334,4195557.447974208,576.9899647821851
618816.8813091305,4195551.419017952,573.417571572178
618820.0622120653,4195545.390828579,569.7892402933674
618823.2496577604,4195539.350239897,566.1060035925793
618826.4505003954,4195533.284262421,562.3690591316436
618829.6715011862,4195527.180082841,558.5797623954093
618832.9193286647,4195521.025063498,554.7396194997568
618836.2005589594,4195514.806741846,550.8502799996129
618839.5216760754,4195508.512829923,546.9135296969635
618842.8890721739,4195502.131213825,542.9312834488669
618846.3090478522,4195495.64995317,538.905577975469
618849.7878124249,4195489.057280567,534.8385646680154
618853.3314842018,4195482.341601093,530.7325023968654
618856.9460907704,4195475.491491753,526.5897503195058
618860.6375692738,4195468.4957009535,522.4127606885652
618864.411766692,4195461.343147973,518.2040716598264
618868.2744401211,4195454.022922428,513.9663001002407
618872.2312570541,4195446.524283747,509.7021343959417
618876.2877956601,4195438.836660637,505.4143272602578
618880.4495450645,4195430.949650549,501.1056885417279
618884.7219056303,4195422.853019156,496.77907803211303
618889.1101892358,4195414.536699815,492.437398274411
618893.6196195564,4195405.990793042,488.08358737086996
618898.2553323439,4195397.205565974,483.7206117910017
618903.0223757069,4195388.171451846,479.3514591795956
618907.9257103904,4195378.879049457,474.97913116473217
618912.9702100559,4195369.319122637,470.60663616579643
618918.1606615616,4195359.482599722,466.23698220149197
618923.501765242,4195349.360573019,461.8731696978541
618928.9981351887,4195338.944298275,457.5181842962643
618934.6542995297,4195328.225194149,453.1749896614627
618940.4747007096,4195317.19484168,448.8465202895627
618946.4636957695,4195305.8449837575,444.53567431606416
618952.6255566274,4195294.167524588,440.245306323867
618958.964470358,4195282.154529168,435.9782201512851
618965.4845394725,4195269.79822275,431.73716170005946
618972.1897821986,4195257.090990315,427.5248117433725
618979.0841327612,4195244.025376039,423.3437787338611
618986.1714416617,4195230.594082763,419.19659161163054
618993.4554759578,4195216.789971466,415.0856926122681
619000.9399195448,4195202.6060607275,411.01343007485656
619008.6283734338,4195188.035526204,406.9820512499879
619016.5243560335,4195173.071700091,402.99369510777706
619024.6313034287,4195157.7080706,399.05038514587545
619032.9525696612,4195141.938281424,395.15402219748455
619041.4914270097,4195125.756131204,391.30637723936957
619050.2510662696,4195109.155573003,387.50908419987314
619059.2345970331,4195092.130713776,383.763632766929
619068.4450479693,4195074.675813833,380.0713611960754
619077.8853671043,4195056.785286315,376.4334491184688
619087.5584221004,4195038.45369666,372.85091034889786
619097.4670005373,4195019.675762072,369.3245856937966
619107.6138101916,4195000.446350995,365.85513575925825
619118.0014793163,4194980.760482577,362.44303375904883
619128.632556922,4194960.613326136,359.08855832262077
619139.5095130554,4194940.000200644,355.79178630312686
619150.6347390808,4194918.916574178,352.5525855854331
619162.010547959,4194897.358063405,349.37060789413334
619173.6391745277,4194875.320433039,346.24528160156206
619185.5227757818,4194852.799595321,343.17580453580865
619197.6634311532,4194829.791609477,340.16113678873023
619210.0631427901,4194806.292681201,337.1999935239666
619222.723835839,4194782.299162109,334.29083778495215
619235.6473587218,4194757.807549224,331.43187330293114
619248.8354834183,4194732.814484432,328.6210373049703
619262.2899057452,4194707.316753959,325.85599332197273
619276.0122456364,4194681.311287837,323.13412399669164
619290.0040474224,4194654.795159378,320.45252389174397
619304.2667801109,4194627.765584636,317.8079922976239
619318.8018376671,4194600.219921881,315.1970260407166
619333.6105392922,4194572.15567107,312.61581229131167
619348.6941297055,4194543.570473313,310.060221371617
619364.0537794231,4194514.462110342,307.5257995637724
619379.6905850379,4194484.828503983,305.007761917863
619395.6055695002,4194454.667715624,302.50098505993327
