x,y,z,t
619100.2238020083,4196227.165551197,698.8838744105063,4241651.507611337
619103.2228420639,4196222.003485422,696.529053927596,4241646.838560306
619106.1918078512,4196216.89318466,694.1977472918228,4241642.216333568
619109.1307660965,4196211.83453406,691.890138025677,4241637.640827144
619112.0397835263,4196206.827418771,689.6064096516494,4241633.111937054
619114.9189268666,4196201.87172394,687.3467456922309,4241628.629559325
619117.7682628437,4196196.967334716,685.1113296699119,4241624.193589978
619120.5878581837,4196192.114136247,682.900345107183,4241619.803925039
619123.3777796128,4196187.312013681,680.7139755265351,4241615.460460535
619126.1380938571,4196182.560852166,678.5524044504588,4241611.163092494
619128.868867643,4196177.860536852,676.4158154014444,4241606.9117169455
619131.5701676966,4196173.210952885,674.3043919019829,4241602.706229918
619134.2420607439,4196168.611985415,672.2183174745645,4241598.546527445
619136.8846135119,4196164.063519589,670.1577756416806,4241594.432505558
619139.4978927256,4196159.565440557,668.1229499258212,4241590.364060295
619142.0819651122,4196155.117633465,666.1140238494773,4241586.341087684
619144.6368973976,4196150.719983461,664.1311809351394,4241582.363483766
619147.1627563079,4196146.372375695,662.1746047052982,4241578.431144577
619149.6596085695,4196142.074695314,660.2444786824444,4241574.5439661555
619152.1275209083,4196137.826827468,658.3409863890686,4241570.701844544
619154.5665600506,4196133.628657304,656.4643113476611,4241566.90467578
619156.9767927227,4196129.480069971,654.6146370807132,4241563.1523559075
619159.358285651,4196125.380950614,652.792147110715,4241559.444780968
619161.7111055612,4196121.331184386,650.9970249601575,4241555.781847009
619164.03531918,4196117.330656432,649.2294541515312,4241552.1634500725
619166.3309932332,4196113.379251901,647.4896182073267,4241548.589486207
619168.5981944475,4196109.476855942,645.7777006500348,4241545.05985146
619170.8369895485,4196105.623353703,644.093885002146,4241541.574441881
619173.0474452629,4196101.818630331,642.438354786151,4241538.133153518
619175.2296283166,4196098.062570975,640.8112935245404,4241534.735882422
619177.383605436,4196094.355060784,639.212884739805,4241531.382524648
619179.5094433471,4196090.695984906,637.6433119544354,4241528.0729762465
619181.6072087765,4196087.085228488,636.1027586909221,4241524.807133273
619183.67696845,4196083.522676679,634.5914084717559,4241521.584891782
619185.7187890938,4196080.008214627,633.1094448194274,4241518.406147831
619187.7327374344,4196076.541727481,631.6570512564273,4241515.270797475
619189.7188801978,4196073.123100389,630.2344113052463,4241512.178736775
619191.6772841103,4196069.752218499,628.8417084883747,4241509.129861791
619193.6080158981,4196066.428966958,627.4791263283034,4241506.12406858
619195.5111422872,4196063.153230917,626.1468483475232,4241503.161253206
619197.3867300041,4196059.924895522,624.8450580685246,4241500.241311732
619199.234845775,4196056.743845922,623.573939013798,4241497.36414022
619201.0555563258,4196053.609967264,622.3336747058347,4241494.529634735
619202.8489283829,4196050.523144699,621.1244486671247,4241491.737691343
619204.6150286725,4196047.483263372,619.946444420159,4241488.98820611
619206.3539239208,4196044.490208435,618.7998454874279,4241486.281075104
619208.0656808539,4196041.5438650325,617.6848353914224,4241483.6161943935
619209.7503661981,4196038.644118315,616.601597654633,4241480.993460048
619211.4080466796,4196035.790853429,615.5503157995504,4241478.412768137
619213.0387890247,4196032.983955524,614.5311733486651,4241475.874014732
619214.6426599595,4196030.223309748,613.5443538244681,4241473.377095906
619216.2197262102,4196027.508801251,612.5900407494497,4241470.921907735
619217.7700545031,4196024.840315177,611.6684176461006,4241468.5083462875
619219.2937115643,4196022.217736677,610.7796680369116,4241466.136307642
619220.7907641199,4196019.6409509,609.9239754443734,4241463.805687874
619222.2612788965,4196017.109842992,609.1015233909764,4241461.51638306
619223.7053226199,4196014.624298103,608.3124953992112,4241459.268289279
619225.1229620164,4196012.18420138,607.5570749915689,4241457.061302609
