x,y,z
618885.4511120305,4195421.4710863,711.1105102506639
618890.0541934533,4195412.74769955,707.5199565158518
618894.5322662024,4195404.261219103,704.0339760965659
618898.8891081861,4195396.004485375,700.647915540344
618903.1284771528,4195387.970376986,697.3572368612458
618907.2541106888,4195380.151810765,694.1575175398547
618911.2697262204,4195372.541741747,691.0444505232751
618915.1790210131,4195365.133163175,688.0138442251344
618918.9856721713,4195357.9191064965,685.0616225255836
618922.6933366387,4195350.89264137,682.1838247712939
618926.3056511984,4195344.046875659,679.3766057754606
618929.826232472,4195337.374955435,676.6362358178013
618933.2586769213,4195330.870064976,673.9591006445556
618936.6065608471,4195324.525426765,671.3417014684858
618939.8734403888,4195318.334301497,668.7806549688767
618943.0628515255,4195312.289988069,666.2726932915356
618946.1783100755,4195306.385823589,663.8146640487918
618949.2233116961,4195300.615183368,661.4035303194979
618952.2013318841,4195294.971480929,659.0363706490284
618955.1158259748,4195289.448168001,656.7103790492797
618957.9702291437,4195284.038734515,654.422864998672
618960.767956405,4195278.736708616,652.171253442147
618963.5124026119,4195273.535656651,649.9530847911689
618966.2069424571,4195268.429183177,647.7660149237253
618968.8549304726,4195263.410930957,645.6078151843245
618971.4597010294,4195258.47458096,643.4763723839992
618974.0245683378,4195253.613852365,641.3696888003032
618976.5528264473,4195248.822502557,639.2858821773132
618979.0477492464,4195244.094327127,637.2231857256286
618981.5125904628,4195239.423159872,635.1799481223709
618983.9505836644,4195234.802872799,633.1546335111843
618986.3649422568,4195230.227376122,631.1458215022353
618988.7588594856,4195225.69061826,629.1522071722129
618991.135508436,4195221.186585839,627.1726010643285
618993.4980420313,4195216.709303694,625.2059291883163
618995.8495930351,4195212.252834867,623.2512330204324
618998.1932740496,4195207.811280605,621.3076695034559
619000.5321775161,4195203.378780366,619.3745110466881
619002.8693757157,4195198.949511809,617.4511455259526
619005.2079207683,4195194.517690807,615.5370762835956
619007.5508446329,4195190.077571434,613.6319221284859
619009.901159108,4195185.623445976,611.735417336015
619012.2618558315,4195181.1496449215,609.8474116480961
619014.6359062796,4195176.650536972,607.9678702731653
619017.0262617683,4195172.12052903,606.0968738861812
619019.4358534535,4195167.554066209,604.234618628625
619021.8675923289,4195162.945631828,602.3814161084997
619024.3243692289,4195158.289747413,600.5376934003317
619026.8090548255,4195153.580972698,598.7039930451691
619029.3244996311,4195148.813905624,596.880973050583
619031.8735339972,4195143.983182338,595.0694068906665
619034.4589681139,4195139.083477196,593.2701835060354
619037.0835920111,4195134.109502759,591.4843073038279
619039.7501755576,4195129.0560097955,589.7128981577047
619042.4614684614,4195123.917787283,587.9571914078489
619045.2202002697,4195118.689662403,586.2185378609663
619048.0290803693,4195113.366500549,584.4984037902848
619050.890797986,4195107.943205316,582.7983709355548
619053.8080221838,4195102.414718509,581.1201365030495
619056.783401868,4195096.7760201385,579.4655131655643
619059.819565781,4195091.022128426,577.836429062417
619062.9191225062,4195085.148099795,576.2349277994481
619066.0846604644,4195079.14902888,574.6631684490203
619069.3187479173,4195073.02004852,573.123425550019
619072.6239329646,4195066.756329762,571.6180891078518
619076.002743546,4195060.3530818615,570.1496645944491
619079.4576874399,4195053.805552279,568.7207729482634
619082.991252264,4195047.109026683,567.3341505742698
619086.6059054754,4195040.258828947,565.992649343966
619090.3040943702,4195033.250321159,564.699236595372
619094.088246084,4195026.078903603,563.4569951330303
619097.9607675911,4195018.74001478,562.269123228006
619101.9240457057,4195011.229131392,561.1389346178863
619105.9804470805,4195003.541768351,560.0698585067812
619110.1323182079,4194995.673478773,559.065439565323
619114.3819854192,4194987.6198539855,558.1293379306667
619118.7317548852,4194979.37652352,557.2653292064892
619123.1839126156,4194970.939155116,556.4773044629906
619127.7407244596,4194962.30345472,555.7692702368929
619132.4044361054,4194953.465166486,555.1453485314406
619137.1772730806,4194944.420072774,554.6097768164011
619142.0614407518,4194935.163994153,554.1669080280637
619147.0591243247,4194925.692789397,553.8212105692407
619152.1724888447,4194916.002355488,553.5772683092664
619157.4036791958,4194906.088627617,553.439780583998
619162.7548201019,4194895.947579176,553.4135621958144
619168.2280161254,4194885.575221773,553.503543413618
619173.8253516684,4194874.9676052155,553.7147699728325
619179.5488909718,4194864.1208175225,554.0524030754057
619185.4006781165,4194853.030984918,554.5217193898058
619191.3827370214,4194841.694271834,555.1281110510251
619197.4970714457,4194830.106880909,555.8770856605774
619203.7456649871,4194818.265052989,556.7742662864997
619210.1304810828,4194806.165067128,557.8253914633509
619216.6534630093,4194793.803240585,559.036315192213
619223.3165338823,4194781.175928827,560.4130069406892
619230.1215966565,4194768.27952553,561.9615516429061
619237.0705341256,4194755.110462573,563.6881496995134
619244.1652089233,4194741.665210047,565.5991169776815
619251.4074635216,4194727.9402762465,567.7008848111051
