x,y,z
620127.6197521387,4195567.970833016,591.8025077713763
620131.4759043806,4195560.99421942,590.8907137231781
620135.3070227042,4195554.062897598,589.9043669764701
620139.1169842618,4195547.169852943,588.8505751199687
620142.909541979,4195540.3082956,587.7362529749917
620146.6883245538,4195533.47166047,586.5681225954596
620150.4568364585,4195526.653607203,585.3527132678939
620154.2184579379,4195519.848020206,584.0963615114185
620157.976445011,4195513.049008637,582.8052110777593
620161.7339294683,4195506.250906408,581.4852129512434
620165.4939188752,4195499.448272184,580.1421253488002
620169.2592965697,4195492.635889381,578.7815137199608
620173.0328216628,4195485.808766172,577.4087507468583
620176.8171290393,4195478.96213548,576.0290163442279
620180.6147293566,4195472.091454983,574.6472976594061
620184.4280090459,4195465.19240711,573.268389072332
620188.2592303115,4195458.260899043,571.8968921955457
620192.1105311303,4195451.293062721,570.5372158741897
620195.9839252541,4195444.285254831,569.1935761860085
620199.8813022054,4195437.234056818,567.8699964413479
620203.8044272822,4195430.136274876,566.5703071831558
620207.7549415545,4195422.988939955,565.2981461869824
620211.7343618663,4195415.7893077545,564.0569584609793
620215.7440808341,4195408.534858732,562.8499962459001
620219.785366848,4195401.223298093,561.6803190151003
620223.8593640717,4195393.852555799,560.550793474537
620227.9670924414,4195386.420786566,559.4640935627697
620232.1094476671,4195378.926369859,558.4227004509593
620236.2872012316,4195371.367909901,557.4289025428684
620240.5010003913,4195363.744235662,556.4847954748623
620244.7513681757,4195356.054400871,555.5922821159074
620249.0387033878,4195348.2976840045,554.7530725675721
620253.3632806032,4195340.4735883,553.968684164027
620257.7252501713,4195332.581841739,553.2404414720444
620262.1246382144,4195324.622397062,552.5694762909981
620266.5613466285,4195316.595431762,551.9567276528642
620271.0351530822,4195308.501348081,551.4029418222206
620275.5457110178,4195300.340773021,550.9086722962469
620280.0925496507,4195292.114558329,550.4742798047247
620284.6750739693,4195283.823780513,550.0999323100375
620289.2925647357,4195275.4697408285,549.7856050071704
620293.9441784851,4195267.053965286,549.5310803237106
620298.6289475258,4195258.5782046495,549.3359479198477
620303.3457799391,4195250.044434436,549.1996046883717
620308.0934595801,4195241.454854914,549.1212547546759
620312.8706460767,4195232.811891107,549.0999094767546
620317.6758748301,4195224.118192791,549.1343874452047
620322.507557015,4195215.376634495,549.223314483224
620327.3639795792,4195206.590315501,549.3651236466133
620332.2433052436,4195197.762559844,549.5580552237743
620337.1435725024,4195188.896916313,549.800156735711
620342.062695623,4195179.997158448,550.0892829360293
620346.9984646463,4195171.067284545,550.423095810937
620351.9485453863,4195162.11151765,550.7990645792433
620356.9104794298,4195153.134305565,551.2144656923599
620361.8816841375,4195144.140320842,551.6663828343
620366.8594526428,4195135.134460791,552.1517069216787
620371.840953853,4195126.121847468,552.6671361037129
620376.8232324478,4195117.107827689,553.2091757622215
620381.8032088808,4195108.097973018,553.7741385116254
620386.7776793786,4195099.098079775,554.3581441989472
620391.7433159407,4195090.114169033,554.9571199038112
620396.6966663407,4195081.152486616,555.5667999384438
620401.6341541244,4195072.219503103,556.1827258476732
620406.5520786117,4195063.321913825,556.8002464089293
620411.4466148951,4195054.466638869,557.4145176322443
620416.3138138407,4195045.660823069,558.0205027602517
620421.149602088,4195036.911836018,558.6129722681874
620425.9497820493,4195028.22727206,559.1865038638888
620430.71003191,4195019.614950291,559.7354824877953
620435.4259056294,4195011.082914562,560.2541003129481
620440.0928329395,4195002.639433475,560.7363567449905
620444.7061193461,4194994.293000387,561.1760584221672
620449.2609461274,4194986.052333407,561.5668192153253
620453.7523703356,4194977.926375398,561.9020602279134
620458.1753247958,4194969.924293975,562.175009795982
620462.5246181061,4194962.055481507,562.3787034881835
620466.7949346385,4194954.329555116,562.5059841057725
620470.9808345377,4194946.756356674,562.549501682605
620475.0767537216,4194939.345952813,562.5017134851388
620479.0770038817,4194932.108634911,562.3548840124342
620482.9757724825,4194925.054919103,562.1010849961527
620486.7671227617,4194918.195546277,561.7321954005581
620490.4449937305,4194911.54148207,561.2399014225157
620494.003200173,4194905.10391688,560.615696491493
620497.435432647,4194898.89426585,559.8508812695593
620500.7352574829,4194892.924168881,558.9365636513854
620503.8961167847,4194887.2054906245,557.8636587642445
620506.9113284297,4194881.750320487,556.6228889680115
620509.7740860684,4194876.570972627,555.2047838551628
620512.4774591245,4194871.679985955,553.599680250777
620515.0143927945,4194867.090124139,551.7977222125348
620517.3777080491,4194862.814375594,549.7888610307184
620519.5601016312,4194858.865953494,547.5628552282114
620521.554146058,4194855.2582957605,545.1092705605007
620523.352289619,4194852.005065071,542.4174800156735
620524.9468563773,4194849.120148858,539.4766638144201
620526.330046169,4194846.617659303,536.2758094100311
620527.4939346041,4194844.5119333435,532.8037114884013
620528.4304730652,4194842.817532668,529.0489719680251
