x,y,z
620565.778564086,4195891.871938629,589.4403810979613
620570.0483499321,4195882.980223196,585.9219537155811
620574.2032064329,4195874.327845066,582.5200077430254
620578.2476361942,4195865.905427683,579.2317268096851
620582.1860961107,4195857.703689683,576.0543280106424
620586.022997364,4195849.713444897,572.9850619066713
620589.7627054254,4195841.9256023485,570.0212125242367
620593.4095400537,4195834.331166253,567.1600973554959
620596.9677752967,4195826.92123602,564.3990673582966
620600.4416394887,4195819.687006257,561.7355069561784
620603.8353152545,4195812.619766757,559.1668340383724
620607.1529395058,4195805.710902514,556.6904999598014
620610.3986034429,4195798.95189371,554.3039895410791
620613.5763525545,4195792.334315724,552.0048210685113
620616.6901866173,4195785.849839127,549.7905462940947
620619.7440596966,4195779.490229682,547.6587504355176
620622.7418801456,4195773.247348349,545.6070521761602
620625.687510606,4195767.113151278,543.6331036650938
620628.5847680077,4195761.079689816,541.7345905170812
620631.437423569,4195755.1391105,539.9092318125763
620634.2492027959,4195749.283655062,538.154780097725
620637.0237854836,4195743.505660429,536.4690213843647
620639.7648057148,4195737.797558717,534.8497751500238
620642.4758518606,4195732.151877242,533.2948943379226
620645.1604665808,4195726.561238507,531.8022653569727
620647.8221468228,4195721.018360212,530.3698080817769
620650.464343823,4195715.516055251,528.9954758526299
620653.0904631056,4195710.047231708,527.6772554755175
620655.7038644828,4195704.604892865,526.4131672221174
620658.3078620557,4195699.182137194,525.2012648297981
620660.9057242135,4195693.772158363,524.0396355016203
620663.5006736333,4195688.36824523,522.926399906336
620666.0958872807,4195682.96378185,521.859712178388
620668.6944964097,4195677.552247471,520.8377599179112
620671.2995865623,4195672.127216533,519.8587641907319
620673.9141975692,4195666.682358667,518.920979528368
620676.5413235489,4195661.211438705,518.0226939280282
620679.1839129083,4195655.708316666,517.1622288526133
620681.8448683423,4195650.166947765,516.3379392307153
620684.5270468348,4195644.581382409,515.5482134566178
620687.2332596573,4195638.9457662,514.7914733902958
620689.9662723698,4195633.254339934,514.0661743574157
620692.7288048207,4195627.501439597,513.3708051493356
620695.5235311463,4195621.681496373,512.7038880231048
620698.3530797715,4195615.789036637,512.0639787014638
620701.2200334095,4195609.818681956,511.4496663728454
620704.1269290614,4195603.765149094,510.85957369137327
620707.0762580168,4195597.623250007,510.29235677686245
620710.0704658532,4195591.387891843,509.7467052148195
620713.1119524376,4195585.0540769445,509.22134205644306
620716.2030719235,4195578.61690285,508.71502381862257
620719.3461327539,4195572.071562286,508.22654048393906
620722.5433976599,4195565.413343177,507.75471550066516
620725.7970836603,4195558.637628639,507.29840578276486
620729.1093620626,4195551.739896985,506.85650170989356
620732.4823584628,4195544.715721714,506.42792712739833
620735.9181527444,4195537.560771526,506.0116393463174
620739.4187790799,4195530.270810311,505.6066291433809
620742.9862259297,4195522.841697152,505.21192076101005
620746.6224360425,4195515.269386328,504.82657190731754
620750.3293064556,4195507.549927307,504.4496737561078
620754.1086884938,4195499.6794647565,504.0803509468764
620757.9623877711,4195491.654238532,503.7177615848108
620761.8921641893,4195483.470583687,503.3610972407894
620765.899731938,4195475.124930465,503.0095829513824
620769.9867594959,4195466.613804304,502.66247721885134
620774.1548696295,4195457.9338258365,502.3190720111492
620778.405639394,4195449.081710886,501.9786927619207
620782.740600132,4195440.054270473,501.6406983705018
620787.1612374752,4195430.848410809,501.30448120191977
620791.6689913434,4195421.461133301,500.96946708689353
620796.2652559441,4195411.889534546,500.6351153218335
620800.9513797737,4195402.130806337,500.30091866884146
620805.7286656168,4195392.18223566,499.9664033557108
620810.598370546,4195382.041204696,499.6311290759262
620815.5617059222,4195371.705190816,499.2946889886639
620820.6198373949,4195361.171766587,498.9567097187915
620825.7738849015,4195350.438599769,498.6168513568684
620831.0249226677,4195339.503453316,498.2748074591448
620836.3739792074,4195328.364185375,497.9303050475631
620841.8220373233,4195317.0187492855,497.58310460975673
620847.3700341056,4195305.465193581,497.2330000990506
620853.0188609335,4195293.701661989,496.87981893446135
620858.7693634739,4195281.726393431,496.5234220006968
620864.622341682,4195269.537722021,496.16370364815634
620870.5785498018,4195257.134077067,495.8005916929309
620876.638696365,4195244.513983069,495.4340474168025
620882.8034441917,4195231.676059722,495.0640655672454
620889.0734103904,4195218.619021916,494.6906743574244
620895.4491663579,4195205.3416797295,494.31393546619654
620901.9312377789,4195191.84293844,493.9339440381098
620908.5201046268,4195178.121798514,493.55082868340384
620915.2162011631,4195164.177355616,493.1647514780098
620922.0199159376,4195150.008800601,492.7759079635502
620928.9315917881,4195135.615419515,492.3845271473391
620935.951525841,4195120.996593603,491.9908715023819
620943.0799695108,4195106.151799301,491.5952369673756
620950.3171285004,4195091.080608238,491.1979529467087
620957.6631628008,4195075.782687236,490.79938231046094
620965.1181866915,4195060.257798312,490.39992139440386
