x,y,z
621259.0042845354,4195888.343731935,558.1752841045658
621261.0025549333,4195883.785503724,557.021595950885
621262.982356286,4195879.269405009,555.8875428540249
621264.9436885932,4195874.79543579,554.7731248139859
621266.8865518554,4195870.363596064,553.6783418307677
621268.810946072,4195865.973885836,552.6031939043706
621270.7168712436,4195861.626305101,551.5476810347942
621272.60432737,4195857.320853863,550.5118032220389
621274.473314451,4195853.057532119,549.4955604661045
621276.3238324869,4195848.83633987,548.4989527669909
621278.1558814772,4195844.657277117,547.5219801246983
621279.9694614224,4195840.520343859,546.5646425392266
621281.7645723224,4195836.425540095,545.6269400105757
621283.5412141769,4195832.372865828,544.7088725387458
621285.2993869864,4195828.3623210555,543.810440123737
621287.0390907504,4195824.393905778,542.9316427655488
621288.7603254693,4195820.4676199965,542.0724804641816
621290.4630911429,4195816.583463709,541.2329532196353
621292.1473877713,4195812.741436917,540.41306103191
621293.8132153543,4195808.94153962,539.6128039010057
621295.4605738922,4195805.183771819,538.8321818269222
621297.0894633846,4195801.468133513,538.0711948096596
621298.6998838319,4195797.794624703,537.3298428492178
621300.2918352338,4195794.163245386,536.6081259455971
621301.8653175905,4195790.573995567,535.9060440987972
621303.420330902,4195787.026875242,535.2235973088182
621304.9568751681,4195783.521884412,534.5607855756602
621306.474950389,4195780.059023078,533.9176088993231
621307.9745565647,4195776.638291237,533.2940672798069
621309.455693695,4195773.259688893,532.6901607171116
621310.91836178,4195769.923216044,532.1058892112371
621312.3625608198,4195766.628872691,531.5412527621837
621313.7882908145,4195763.376658831,530.9962513699511
621315.1955517638,4195760.166574468,530.4708850345396
621316.5843436677,4195756.998619599,529.9651537559488
621317.9546665265,4195753.872794227,529.479057534179
621319.30652034,4195750.7890983485,529.0125963692301
621320.6399051081,4195747.747531966,528.5657702611022
621321.9548208312,4195744.748095079,528.1385792097951
621323.2512675088,4195741.790787687,527.7310232153088
621324.5292451413,4195738.87560979,527.3431022776438
621325.7887537284,4195736.002561388,526.9748163967994
621327.0297932704,4195733.171642481,526.626165572776
621328.252363767,4195730.382853069,526.2971498055736
621329.4564652182,4195727.636193154,525.9877690951919
621330.6420976243,4195724.931662733,525.6980234416311
621331.8092609851,4195722.269261807,525.4279128448914
621332.9579553006,4195719.648990377,525.1774373049725
621334.0881805707,4195717.070848442,524.9465968218747
621335.1999367957,4195714.534836002,524.7353913955976
621336.2932239755,4195712.040953057,524.5438210261415
621337.36804211,4195709.589199606,524.3718857135062
621338.4243911991,4195707.179575653,524.2195854576919
621339.4622712431,4195704.812081193,524.0869202586986
621340.4816822418,4195702.4867162295,523.9738901165261
621341.482624195,4195700.203480761,523.8804950311745
621342.4650971032,4195697.962374787,523.8067350026439
621343.429100966,4195695.763398308,523.7526100309342
621344.3746357837,4195693.606551325,523.7181201160454
621345.301701556,4195691.491833838,523.7032652579775
621346.2102982829,4195689.419245845,523.7080454567306
621347.1004259646,4195687.388787347,523.7324607123044
621347.9720846012,4195685.400458345,523.7765110246993
621348.8252741925,4195683.454258838,523.8401963939151
621349.6599947383,4195681.550188826,523.9235168199517
621350.4762462389,4195679.688248309,524.0264723028093
621351.2740286944,4195677.868437288,524.1490628424878
621352.0533421045,4195676.090755762,524.2912884389872
621352.8141864694,4195674.35520373,524.4531490923075
621353.556561789,4195672.661781195,524.6346448024487
621354.2804680634,4195671.010488153,524.8357755694109
621354.9859052924,4195669.401324609,525.056541393194
621355.6728734763,4195667.834290558,525.2969422737979
621356.3413726148,4195666.309386004,525.5569782112229
621356.9914027081,4195664.826610943,525.8366492054686
621357.6229637561,4195663.385965379,526.1359552565353
621358.2360557588,4195661.987449309,526.454896364423
621358.8306787162,4195660.631062736,526.7934725291315
621359.4068326284,4195659.316805657,527.1516837506609
621359.9645174954,4195658.044678072,527.5295300290114
621360.503733317,4195656.814679984,527.9270113641826
621361.0244800934,4195655.626811391,528.3441277561748
621361.5267578246,4195654.481072293,528.780879204988
621362.0105665104,4195653.37746269,529.2372657106221
621362.4759061509,4195652.315982583,529.713287273077
621362.9227767463,4195651.2966319695,530.2089438923527
621363.3511782964,4195650.319410853,530.7242355684494
621363.7611108011,4195649.384319231,531.2591623013672
621364.1525742606,4195648.491357104,531.8137240911058
621364.5255686748,4195647.640524473,532.3879209376653
621364.8800940438,4195646.831821336,532.9817528410457
621365.2161503674,4195646.065247695,533.595219801247
621365.533737646,4195645.340803549,534.2283218182693
621365.832855879,4195644.658488899,534.8810588921124
621366.1135050668,4195644.018303744,535.5534310227764
621366.3756852096,4195643.420248083,536.2454382102615
621366.6193963068,4195642.864321918,536.9570804545673
621366.844638359,4195642.350525248,537.6883577556941
621367.0514113659,4195641.878858073,538.4392701136419
621367.2397153274,4195641.449320394,539.2098175284106
