x,y,z
618751.981747502,4195674.411405883,513.8054387072632
618749.1064518128,4195679.613437789,505.44025133849647
618746.2783458465,4195684.730093278,497.4441290984111
618743.4868354978,4195689.780539378,489.80961762643574
618740.7216169118,4195694.783417991,482.52931387530475
618737.9726764823,4195699.756845898,475.5958661110577
618735.2302908531,4195704.718414754,469.00197391303936
618732.4850269165,4195709.68519109,462.7403881739
618729.7277418156,4195714.673716313,456.80391109959487
618726.9495829416,4195719.700006707,451.18539620938463
618724.1419879365,4195724.779553429,445.87774833583546
618721.2966846899,4195729.927322519,440.87392362481836
618718.4056913432,4195735.157754882,436.1669295355101
618715.4613162853,4195740.48476631,431.7498248403926
618712.4561581556,4195745.921747464,427.61571962525284
618709.3831058423,4195751.481563883,423.7577752891832
618706.2353384836,4195757.176555982,420.1692045445817
618703.0063254671,4195763.0185390515,416.84327141715113
618699.6898264295,4195769.018803258,413.77329124590005
618696.2798912567,4195775.1881136475,410.9526306831417
618692.770860085,4195781.536710135,408.3747076944951
618689.1573632994,4195788.074307518,406.0329915588844
618685.4343215345,4195794.810095465,403.92100286853923
618681.5969456747,4195801.752738523,402.0323135289941
618677.6407368531,4195808.910376117,400.3605467590893
618673.5614864532,4195816.290622543,398.89937709097
618669.3552761071,4195823.900566976,397.6425303700869
618665.0184776968,4195831.7467734665,396.5837837551959
618660.5477533536,4195839.835280942,395.71696571835815
618655.9400554582,4195848.171603204,395.0359560449402
618651.1926266411,4195856.760728931,394.5346858336139
618646.302999782,4195865.607121678,394.2071374963561
618641.2689980099,4195874.714719875,394.04734475844947
618636.0887347034,4195884.086936826,394.04939265848145
618630.7606134904,4195893.726660717,394.2074175483449
618625.2833282487,4195903.636254605,394.5156070932384
618619.655863105,4195913.817556422,394.9682002716652
618613.8774924357,4195924.271878981,395.55948737543406
618607.9477808666,4195935.000009966,396.28381000965925
618601.8665832732,4195946.00221194,397.1355610927601
618595.6340447797,4195957.278222341,398.1091848564613
618589.2506007609,4195968.827253482,399.19917684579286
618582.7169768403,4195980.647992555,400.40008391909
618576.0341888906,4195992.738601623,401.7065042479931
618569.2035430346,4196005.0967176305,403.11308731744833
618562.2266356442,4196017.719452393,404.61453392570655
618555.105353341,4196030.603392606,406.20559618432435
618547.8418729953,4196043.744599838,407.8810775181633
618540.4386617278,4196057.138610535,409.63583266539047
618532.8984769083,4196070.780436019,411.46476767747816
618525.2243661562,4196084.664562488,413.36283991920396
618517.4196673395,4196098.784951014,415.3250580686507
618509.4880085771,4196113.135037548,417.3464821172065
618501.4333082358,4196127.707732915,419.42222336956496
618493.2597749331,4196142.495422815,421.54744444372466
618484.9719075353,4196157.489967828,423.71735927098973
618476.5744951584,4196172.682703405,425.92723309596937
618468.0726171674,4196188.064439877,428.1723824765783
618459.4716431776,4196203.625462447,430.4481752840363
618450.7772330528,4196219.355531199,432.7500307028688
618441.9953369068,4196235.243881089,435.07341923090587
618433.1321951029,4196251.279221948,437.4138626792836
618424.1943382536,4196267.449738489,439.76693417244303
618415.1885872206,4196283.743090295,442.1282581481304
618406.122053116,4196300.146411827,444.4935103573974
618397.0021373001,4196316.646312422,446.8584178646009
618387.8365313838,4196333.228876293,449.21875904740307
618378.6332172267,4196349.879662529,451.5703635967716
618369.4004669379,4196366.583705095,453.9091125169791
618360.1468428766,4196383.32551283,456.23093812560376
618350.8811976505,4196400.089069454,458.5318240535289
618341.6126741171,4196416.857833558,460.80780524494315
618332.350705384,4196433.614738611,463.0549679573405
618323.1050148073,4196450.342192956,465.2694497615203
618313.8856159933,4196467.022079816,467.4474395415869
618304.7028127972,4196483.635757286,469.58517749495024
618295.5671993238,4196500.16405834,471.67895513232537
618286.4896599273,4196516.587290825,473.72511527773275
618277.4813692119,4196532.885237466,475.7200520684981
618268.5537920304,4196549.037155863,477.6602109552523
618259.7186834858,4196565.021778494,479.5420887019316
618250.9880889298,4196580.817312709,481.3622333857777
618242.374343964,4196596.401440738,483.1172443973374
618233.8900744398,4196611.751319684,484.8037724404627
618225.5481964571,4196626.843581528,486.41851953231117
618217.3619163661,4196641.654333127,487.95823900334557
618209.3447307663,4196656.159156211,489.4197354973338
618201.510426506,4196670.3331073895,490.79986497134917
618193.8730806839,4196684.150718146,492.0955346957703
618186.4470606473,4196697.585994841,493.30370325428106
618179.2470239938,4196710.612418709,494.4213805438708
618172.2879185694,4196723.202945865,495.4456277748336
618165.5849824707,4196735.330007293,496.37355747076947
618159.1537440427,4196746.965508861,497.20233346858333
618153.0100218805,4196758.080831305,497.9291709184857
618147.1699248287,4196768.646830243,498.55133628399193
618141.6498519805,4196778.633836166,499.0661473419231
618136.46649268,4196788.011654441,499.4709731824054
618131.6368265194,4196796.749565314,499.76323420887024
618127.1781233407,4196804.8163239015,499.94040213805437
