x,y,z
619425.0343925457,4196839.099736726,534.5609958817817
619422.8716229704,4196843.012654753,527.6241997430968
619420.7354112199,4196846.87752393,520.8861328359658
619418.6232901731,4196850.698807812,514.3447877944133
619416.5327927105,4196854.480969954,507.99815725246395
619414.4614517114,4196858.228473907,501.8442338441425
619412.4068000555,4196861.94578323,495.8810102034737
619410.3663706228,4196865.637361474,490.1064789644822
619408.3376962927,4196869.307672194,484.51863276119286
619406.3183099448,4196872.961178945,479.11546422763007
619404.3057444588,4196876.602345281,473.8949659978188
619402.2975327149,4196880.235634757,468.8551307057838
619400.2912075921,4196883.865510927,463.9939509855495
619398.2843019705,4196887.496437344,459.3094194711408
619396.2743487298,4196891.132877564,454.7995287965825
619394.2588807493,4196894.77929514,450.46227159589915
619392.2354309092,4196898.440153628,446.2956405031155
619390.2015320889,4196902.119916582,442.29762815225627
619388.1547171684,4196905.823047554,438.4662271773463
619386.092519027,4196909.554010101,434.79943021241
619384.0124705444,4196913.3172677765,431.2952298914723
619381.9121046005,4196917.117284135,427.95161884855776
619379.788954075,4196920.9585227305,424.7665897176913
619377.6405518474,4196924.845447117,421.73813513289747
619375.4644307974,4196928.782520851,418.86424772820095
619373.258123805,4196932.774207484,416.1429201376266
619371.0191637496,4196936.824970572,413.5721449951991
619368.7450835111,4196940.939273668,411.149914934943
619366.4334159689,4196945.121580328,408.87422259088316
619364.0816940028,4196949.376354106,406.7430605970443
619361.6874504928,4196953.708058556,404.754421587451
619359.2482183182,4196958.121157231,402.9062981961282
619356.7615303589,4196962.620113688,401.1966830571003
619354.2249194945,4196967.209391478,399.6235688043922
619351.6359186047,4196971.893454159,398.18494807202865
619348.9920605691,4196976.676765283,396.8788134940342
619346.2908782677,4196981.563788405,395.7031577044338
619343.52990458,4196986.558987079,394.65597333725185
619340.7066723856,4196991.6668248605,393.73525302651325
619337.8187145642,4196996.891765303,392.93898940624274
619334.8635639955,4197002.238271961,392.26517511046484
619331.8387535594,4197007.710808387,391.71180277320445
619328.7418161355,4197013.313838139,391.2768650284862
619325.5702846033,4197019.051824769,390.95835451033486
619322.3216918426,4197024.929231831,390.754263852775
619318.9935707331,4197030.950522881,390.6625856898315
619315.5834541547,4197037.120161472,390.6813126555289
619312.0888749866,4197043.442611159,390.80843738389206
619308.5073661089,4197049.922335495,391.04195250894554
619304.8364604013,4197056.563798036,391.37985066471424
619301.0736907432,4197063.371462337,391.8201244852227
619297.2165900145,4197070.349791951,392.3607666044957
619293.262691095,4197077.50325043,392.999769656558
619289.2095268642,4197084.836301333,393.7351262754342
619285.0546302015,4197092.353408213,394.5648290951491
619280.7955339875,4197100.059034621,395.48687074972736
619276.4297711009,4197107.957644115,396.4992438731937
619271.9548744219,4197116.053700249,397.5999410995728
619267.3683768301,4197124.351666575,398.78695506288943
619262.6678112053,4197132.85600665,400.05827839716824
619257.8507104269,4197141.571184028,401.41190373643406
619252.9146073749,4197150.501662262,402.84582371471146
619247.8570349289,4197159.651904906,404.3580309660251
619242.6755259683,4197169.026375515,405.94651812439986
619237.3676133733,4197178.629537646,407.6092778238604
619231.9308300233,4197188.465854849,409.34430269843136
619226.3627087978,4197198.539790681,411.1495853821375
619220.660782577,4197208.855808695,413.0231185090036
619214.8225842401,4197219.418372447,414.9628947130542
619208.8456466671,4197230.2319454895,416.9669066283142
619202.7275027377,4197241.300991377,419.0331468888081
619196.4656853313,4197252.629973666,421.15960812856076
619190.0577273278,4197264.223355909,423.3442829815969
619183.501161607,4197276.0856016595,425.5851640819411
619176.7935210483,4197288.221174475,427.8802440636182
619169.9323385316,4197300.634537906,430.2275155606528
619162.9151469364,4197313.33015551,432.62497120706973
619155.7394791427,4197326.3124908395,435.0706036368936
619148.4028680299,4197339.586007451,437.5624054841492
619140.9028464779,4197353.155168896,440.09836938286116
619133.2369473662,4197367.0244387295,442.67648796705424
619125.4027035746,4197381.198280508,445.29475387075314
619117.3976479829,4197395.681157783,447.95115972798254
619109.2193134706,4197410.47753411,450.6436981727672
619100.8652329175,4197425.591873044,453.3703618391318
619092.3329392031,4197441.028638139,456.129143361101
619083.6199652074,4197456.792292949,458.91803537269965
619074.7238438099,4197472.887301029,461.7350305079523
619065.6421078903,4197489.3181259325,464.57812140088373
619056.3722903284,4197506.089231214,467.44530068551865
619046.9119240037,4197523.205080428,470.33456099588176
619037.258541796,4197540.670137129,473.2438949659978
619027.4096765851,4197558.488864872,476.1712952298915
619017.3628612504,4197576.665727209,479.11475442158746
619007.115628672,4197595.205187697,482.07226517511054
618996.6655117293,4197614.111709889,485.0418201244853
618986.010043302,4197633.389757341,488.02141190373646
618975.1467562696,4197653.043793604,491.00903314688884
618964.0731835125,4197673.078282234,494.002676487967
618952.7868579095,4197693.497686788,497.00033456099584
