x,y,z
620210.4513713584,4196631.831364602,523.3796168250889
620208.5160897226,4196635.861537123,516.7749188257668
620206.6048327206,4196639.841678984,510.362308318839
620204.7156524087,4196643.775846725,504.1398450266043
620202.8466008442,4196647.668096885,498.1055886713618
620200.9957300832,4196651.522486006,492.25759897541053
620199.1610921831,4196655.343070625,486.5939356610496
620197.3407391999,4196659.1339072855,481.11265845057795
620195.5327231912,4196662.899052524,475.8118270662949
620193.7350962128,4196666.642562884,470.6895012304991
620191.9459103224,4196670.368494903,465.7437406654898
620190.1632175758,4196674.080905122,460.9726050935661
620188.3850700302,4196677.78385008,456.37415423702697
620186.6095197424,4196681.481386319,451.94644781817146
620184.834618769,4196685.177570379,447.6875455592987
620183.0584191667,4196688.876458798,443.59550718270765
620181.2789729923,4196692.582108117,439.66839241069744
620179.4943323025,4196696.298574877,435.904260965567
620177.7025491543,4196700.029915615,432.30117256961574
620175.9016756039,4196703.780186874,428.8571869451422
620174.0897637084,4196707.553445194,425.57036381444556
620172.2648655245,4196711.353747114,422.43876289982506
620170.4250331089,4196715.185149173,419.4604439235796
620168.5683185183,4196719.051707913,416.6334666080083
620166.6927738094,4196722.957479874,413.95589067541016
620164.7964510389,4196726.906521595,411.4257758480844
620162.8774022638,4196730.902889616,409.04118184832976
620160.9336795406,4196734.950640478,406.80016839844563
620158.963334926,4196739.05383072,404.7007952207308
620156.9644204769,4196743.216516882,402.74112203748433
620154.9349882499,4196747.442755505,400.9192085710054
620152.8730903019,4196751.736603129,399.23311454359305
620150.7767786894,4196756.102116293,397.68089967754634
620148.6441054693,4196760.5433515385,396.2606236951641
620146.4731226983,4196765.064365403,394.97034631874567
620144.2618824331,4196769.669214429,393.8081272705899
620142.0084367306,4196774.361955155,392.7720262729961
620139.710837647,4196779.146644123,391.860103048263
620137.3671372398,4196784.0273378715,391.0704173186898
620134.9753875651,4196789.00809294,390.4010288065755
620132.5336406799,4196794.09296587,389.8499972342192
620130.039948641,4196799.2860132,389.41538232391986
620127.4923635052,4196804.591291471,389.09524379797676
620124.8889373287,4196810.012857225,388.8876413786887
620122.2277221689,4196815.554766997,388.79063478835485
620119.5067700823,4196821.221077331,388.8022837492742
620116.7241331255,4196827.015844766,388.9206479837459
620113.8778633552,4196832.943125842,389.14378721406877
620110.9660128282,4196839.0069771,389.4697611625421
620107.9866336014,4196845.211455079,389.8966295514649
620104.9377777313,4196851.560616318,390.4224521031361
620101.8174972748,4196858.058517359,391.0452885398549
620098.6238442888,4196864.709214741,391.76319858392026
620095.3548708295,4196871.516765004,392.5742419576312
620092.0086289541,4196878.485224688,393.47647838328686
620088.5831707191,4196885.618650335,394.46796758318624
620085.0765481814,4196892.921098482,395.5467692796284
620081.4868133976,4196900.396625671,396.7109431949123
620077.8120184245,4196908.04928844,397.9585490513372
620074.0502153188,4196915.883143331,399.28764657120195
620070.1994561371,4196923.902246883,400.69629547680574
620066.2577929364,4196932.110655638,402.1825554904475
620062.2232777735,4196940.512426133,403.74448633442626
620058.0939627045,4196949.111614911,405.38014773104123
620053.8678997869,4196957.91227851,407.08759940259137
620049.543141077,4196966.91847347,408.8649010713757
620045.1177386318,4196976.134256332,410.7101124596933
620040.5897445077,4196985.563683635,412.6212932898432
620035.9572107617,4196995.21081192,414.59650328412454
620031.2181894504,4197005.079697727,416.6338021648362
620026.3707326306,4197015.174397596,418.7312496542774
620021.4128923588,4197025.498968067,420.8869054747471
620016.3427206923,4197036.057465679,423.09882934854437
620011.1582696872,4197046.853946974,425.3650809979682
620005.8575914006,4197057.89246849,427.68372014531775
620000.4387378892,4197069.177086768,430.052806512892
619994.8997612095,4197080.711858349,432.47039982299
619989.2387134184,4197092.50083977,434.9345597979108
619983.4536465729,4197104.548087575,437.44334615995353
619977.5426127294,4197116.857658301,439.9948186314171
619971.5036639443,4197129.433608489,442.5870369346007
619965.3348522751,4197142.27999468,445.2180607918033
619959.0342297782,4197155.400873411,447.8859499253239
619952.5998485102,4197168.800301226,450.5887640574617
619946.029760528,4197182.482334662,453.32456291051557
619939.3220178881,4197196.451030262,456.09140620678465
619932.4746726477,4197210.710444563,458.88735366856804
619925.485776863,4197225.264634106,461.7104650181647
619918.3533825909,4197240.117655433,464.5587999778737
619911.0755418885,4197255.273565081,467.4304182699942
619903.650306812,4197270.736419592,470.3233796168251
619896.0757294184,4197286.5102755055,473.2357437406655
619888.3498617643,4197302.599189361,476.1655703638145
619880.4707559065,4197319.007217699,479.110919208571
619872.4364639022,4197335.738417059,482.06984999723426
619864.2450378074,4197352.796843983,485.0404224521032
619855.8945296791,4197370.186555008,488.0206962954768
619847.3829915742,4197387.911606677,491.0087312496543
619838.7084755492,4197405.976055528,494.00258703693453
619829.869033661,4197424.383958101,497.0003233796168
