x,y,z
620808.9721534918,4196914.906081765,499.83169832438233
620807.1771429671,4196919.000656563,493.9263970524498
620805.4044157472,4196923.044401209,488.1991958093221
620803.652165077,4196927.041437067,482.64829560480894
620801.9185842029,4196930.995885502,477.27189744872067
620800.2018663704,4196934.911867874,472.06820235086724
620798.5002048243,4196938.79350555,467.03541132105875
620796.8117928109,4196942.644919892,462.17172536910516
620795.1348235757,4196946.470232264,457.4753455048167
620793.467490364,4196950.27356403,452.9444727380032
620791.8079864214,4196954.059036554,448.57730807847474
620790.1545049935,4196957.830771199,444.3720525360415
620788.5052393262,4196961.5928893285,440.32690712051345
620786.8583826645,4196965.349512307,436.4400728417007
620785.2121282545,4196969.104761497,432.7097507094133
620783.5646693414,4196972.862758262,429.13414173346126
620781.914199171,4196976.627623968,425.71144692365465
620780.2589109888,4196980.403479977,422.4398672898036
620778.5969980406,4196984.194447651,419.3176038417181
620776.9266535713,4196988.004648357,416.34285758920817
620775.2460708271,4196991.838203456,413.51382954208384
620773.5534430534,4196995.699234314,410.82872071015515
620771.8469634957,4196999.591862293,408.28573210323236
620770.1248253996,4197003.520208756,405.8830647311253
620768.3852220105,4197007.48839507,403.6189196036441
620766.6263465746,4197011.500542594,401.4914977305988
620764.8463923368,4197015.560772696,399.49900012179955
620763.0435525429,4197019.673206736,397.63962778705627
620761.2160204386,4197023.8419660805,395.9115817361791
620759.361989269,4197028.071172092,394.313062978978
620757.4796522803,4197032.364946134,392.8422725252631
620755.5672027178,4197036.7274095705,391.49741138484444
620753.6228338269,4197041.1626837645,390.27668056753214
620751.6447388536,4197045.674890081,389.1782810831362
620749.631111043,4197050.268149883,388.20041394146654
620747.580143641,4197054.946584533,387.3412801523334
620745.490029893,4197059.714315396,386.59908072554686
620743.3589630446,4197064.575463835,385.9720166709168
620741.1851363415,4197069.534151214,385.45828899825335
620738.9667430291,4197074.594498898,385.0560987173667
620736.7019763531,4197079.760628249,384.7636468380665
620734.3890295589,4197085.036660629,384.5791343701633
620732.0260958923,4197090.426717405,384.5007623234669
620729.6113685985,4197095.934919939,384.52673170778735
620727.1430409235,4197101.565389597,384.65524353293483
620724.6193061126,4197107.322247738,384.8844988087192
620722.0383574116,4197113.20961573,385.21269854495057
620719.3983880659,4197119.231614934,385.6380437514391
620716.6975913211,4197125.392366715,386.1587354379948
620713.9341604227,4197131.695992436,386.77297461442765
620711.1062886163,4197138.146613461,387.47896229054777
620708.2121691476,4197144.748351154,388.2748994761653
620705.2499952624,4197151.505326877,389.1589871810901
620702.2179602055,4197158.421661996,390.12942641513234
620699.1142572231,4197165.501477874,391.1844181881021
620695.9370795607,4197172.748895873,392.32216350980934
620692.6846204638,4197180.16803736,393.54086339006415
620689.3550731777,4197187.763023695,394.83871883867664
620685.9466309485,4197195.5379762435,396.21393086545686
620682.4574870213,4197203.497016368,397.6647004802147
620678.885834642,4197211.644265435,399.1892286927605
620675.2298670559,4197219.9838448055,400.78571651290406
620671.4877775089,4197228.519875843,402.4523649504555
620667.6577592462,4197237.256479913,404.1873750152249
620663.7380055138,4197246.197778377,405.98894771702237
620659.7267095568,4197255.347892602,407.8552840656579
620655.622064621,4197264.710943948,409.7845850709415
620651.422263952,4197274.291053781,411.77505174268333
620647.1255007953,4197284.092343463,413.82488509069333
620642.7299683966,4197294.118934359,415.9322861247817
620638.2338600013,4197304.374947832,418.09545585475837
620633.6353688552,4197314.864505245,420.31259529043336
620628.9326882036,4197325.591727965,422.58190544161687
620624.1240112922,4197336.560737351,424.9015873181188
620619.2075313666,4197347.7756547695,427.2698419297493
620614.1814416724,4197359.240601583,429.68487028631847
620609.043935455,4197370.959699157,432.1448733976363
620603.7932059602,4197382.937068853,434.64805227351275
620598.4274464333,4197395.176832035,437.19260792375803
620592.9448501201,4197407.683110068,439.7767413581821
620587.3436102661,4197420.460024314,442.39865358659506
620581.621920117,4197433.5116961375,445.0565456188069
620575.777972918,4197446.842246903,447.7486184646278
620569.809961915,4197460.455797973,450.4730731338677
620563.7160803536,4197474.356470711,453.2281106363367
620557.4945214791,4197488.548386482,456.0119319818448
620551.1434785373,4197503.035666647,458.8227381802021
620544.6611447737,4197517.822432574,461.6587302412187
620538.0457134339,4197532.912805622,464.51810917470453
620531.2953777633,4197548.310907158,467.3990759904698
620524.4083310078,4197564.020858544,470.2998316983244
620517.3827664127,4197580.046781143,473.21857730807847
620510.2168772236,4197596.392796321,476.1535138295421
620502.9088566861,4197613.063025441,479.10284227252527
620495.456898046,4197630.061589865,482.0647636468381
620487.8591945486,4197647.392610958,485.0374789622906
620480.1139394394,4197665.060210083,488.01918922869277
620472.2193259643,4197683.068508605,491.0080954558548
620464.1735473685,4197701.421627886,494.0023986535865
620455.9747968977,4197720.123689291,497.0002998316983
