x,y,z,t
619241.6254062213,4195983.779544925,676.1957128455742,4241431.370285255
619243.6198365536,4195980.346652943,669.2466201385644,4241428.2653613305
619245.5847390484,4195976.9645854365,662.4910978572606,4241425.206407678
619247.5207431063,4195973.632259058,655.9233511350114,4241422.192444388
619249.4284958489,4195970.348559954,649.5376609921361,4241419.222463959
619251.3086621176,4195967.112343776,643.3283843359255,4241416.295431317
619253.1619244751,4195963.922435667,637.2899539606406,4241413.41028379
619254.988983204,4195960.777630276,631.4168785475144,4241410.565931134
619256.7905563082,4195957.676691745,625.7037426647512,4241407.761255511
619258.5673795111,4195954.618353719,620.1452067675245,4241404.9951115055
619260.3202062574,4195951.601319338,614.7360071979813,4241402.266326112
619262.0498077119,4195948.624261243,609.4709561852382,4241399.573698742
619263.7569727604,4195945.685821572,604.3449418453832,4241396.916001223
619265.4425080093,4195942.7846119655,599.3529281814758,4241394.2919777995
619267.107237785,4195939.919213557,594.4899550835457,4241391.700345127
619268.7520041346,4195937.088176983,589.7511383285948,4241389.13979228
619270.3776668262,4195934.290022378,585.1316695805955,4241386.608980748
619271.985103348,4195931.523239373,580.6268163904907,4241384.106544434
619273.5752089091,4195928.7862871,576.2319221961958,4241381.631089658
619275.1488964383,4195926.07759419,571.9424063225956,4241379.181195154
619276.7070965858,4195923.39555877,567.7537639815473,4241376.755412071
619278.2507577221,4195920.738548469,563.6615662718787,4241374.352263977
619279.7808459385,4195918.104900412,559.6614601793887,4241371.970246851
619281.2983450462,4195915.492921224,555.749168576847,4241369.607829089
619282.8042565775,4195912.900887028,551.9204902239951,4241367.263451503
619284.2995997851,4195910.327043448,548.171299767545,4241364.935527318
619285.785411642,4195907.769605603,544.4975477411799,4241362.6224421775
619287.2627468423,4195905.226758113,540.8952605655542,4241360.322554137
619288.7326778,4195902.696655097,537.3605405482931,4241358.03419367
619290.1962946499,4195900.177420173,533.8895658839932,4241355.755663665
619291.6547052476,4195897.667146453,530.4785906542222,4241353.485239424
619293.1090351688,4195895.163896555,527.1239448275187,4241351.221168667
619294.5604277104,4195892.665702591,523.8220342593924,4241348.9616715275
619296.0100438888,4195890.170566172,520.5693406923241,4241346.704940556
619297.4590624421,4195887.67645841,517.3624217557656,4241344.4491407145
619298.9086798279,4195885.181319913,514.1979109661402,4241342.192409387
619300.3601102254,4195882.6830607895,511.0725177268417,4241339.932856369
619301.8145855333,4195880.179560646,507.98302732823527,4241337.668563872
619303.2733553716,4195877.668668589,504.9263009476572,4241335.397586523
619304.7376870803,4195875.14820322,501.8992756494148,4241333.117951366
619306.2088657205,4195872.6159526445,498.8989643847864,4241330.827657862
619307.6881940735,4195870.069674461,495.9224559920216,4241328.524677882
619309.1769926413,4195867.507095772,492.96691519634095,4241326.206955719
619310.676599646,4195864.925913176,490.0295826099361,4241323.872408083
619312.1883710308,4195862.3237927705,487.10777473196964,4241321.518924094
619313.7136804594,4195859.69837015,484.1988839485754,4241319.144365292
619315.2539193154,4195857.047250412,481.3003785328584,4241316.746565634
619316.810496704,4195854.36800815,478.4098026448947,4241314.323331493
619318.3848394499,4195851.6581874555,475.524776331731,4241311.872441658
619319.9783920991,4195848.915301918,472.6429955273859,4241309.391647333
619321.5926169178,4195846.13683463,469.7622320528484,4241306.878672143
619323.2289938928,4195843.320238178,466.8803336160788,4241304.3312121285
