x,y,z
619737.7590886693,4196273.313110632,638.8560667874074
619739.6941810143,4196269.812109967,634.0836207202769
619741.6298436995,4196266.310077433,629.276686827538
619743.5666311012,4196262.806010044,624.4381145517716
619745.5050801812,4196259.29893632,619.5707146610144
619747.4457104857,4196255.787916288,614.6772592487607
619749.3890241463,4196252.272041484,609.7604817339588
619751.3355058795,4196248.750434952,604.8230768610141
619753.2856229873,4196245.222251241,599.8677006997885
619755.2398253559,4196241.68667641,594.8969706455987
619757.1985454573,4196238.142928022,589.913465419218
619759.1621983481,4196234.5902551515,584.9197250668761
619761.1311816699,4196231.027938378,579.9182509602582
619763.1058756495,4196227.4552897895,574.9115057965062
619765.086643099,4196223.871652979,569.9019135982168
619767.0738294149,4196220.276403052,564.8918597134441
619769.0677625793,4196216.668946615,559.8836908156973
619771.068753159,4196213.048721789,554.8797149039422
619773.0770943062,4196209.415198195,549.8822013026004
619775.0930617574,4196205.767876968,544.893380661549
619777.1169138348,4196202.1062907465,539.9154449561222
619779.1488914456,4196198.430003677,534.9505474871094
619781.1892180819,4196194.738611414,530.0008028807563
619783.2380998206,4196191.031741119,525.0682870887647
619785.2957253237,4196187.309051464,520.1550373882925
619787.3622658388,4196183.570232624,515.2630523819531
619789.4378751979,4196179.815006283,510.3942919978166
619791.5226898182,4196176.043125633,505.5506774894088
619793.616828702,4196172.254375374,500.73409143571166
619795.7203934365,4196168.448571711,495.94637774116285
619797.8334681944,4196164.625562359,491.18934163565643
619799.9561197328,4196160.785226539,486.4647496745423
619802.0883973943,4196156.92747498,481.77432973862653
619804.2303331059,4196153.052249919,477.1197710341711
619806.3819413804,4196149.159525099,472.50272409289414
619808.5432193154,4196145.249305772,467.92480077196956
619810.7141465934,4196141.321628696,463.38757425402764
619812.8946854817,4196137.376562137,458.8925790471542
619815.084780833,4196133.414205871,454.44131098489174
619817.2843600853,4196129.434691175,450.03522722623825
619819.4933332608,4196125.43818084,445.67574625564794
619821.7115929673,4196121.424869161,441.3642478830313
619823.9390143979,4196117.394981941,437.10207324375443
619826.1754553299,4196113.348776492,432.89052479863955
619828.4207561263,4196109.286541632,428.73086633396497
619830.674739735,4196105.208597687,424.6243229614653
619832.9372116886,4196101.11529649,420.57208111833074
619835.2079601055,4196097.007021379,416.57528856720774
619837.4867556881,4196092.884187205,412.6350543961987
619839.7733517248,4196088.747240322,408.7524490188623
619842.0674840885,4196084.596658593,404.92850417421295
619844.3688712369,4196080.432951389,401.1642129267211
619846.6772142136,4196076.256659587,397.46052966631345
619848.9921966463,4196072.068355573,393.8183701083724
619851.3134847481,4196067.86864324,390.23861129373677
619853.6407273177,4196063.658157986,386.7220915887011
619855.9735557376,4196059.437566721,383.2696106850161
619858.3115839765,4196055.207567858,379.8819295998885
619860.6544085875,4196050.968891321,376.5597706759811
619863.0016087089,4196046.722298537,373.3038175814126
619865.3527460641,4196042.468582448,370.1147153097576
619867.7073649614,4196038.208567495,366.99307018004725
619870.0649922943,4196033.943109631,363.9394498367683
619872.4251375411,4196029.673096316,360.95438324986355
619874.7872927655,4196025.399446518,358.038360714732
619877.1509326156,4196021.12311071,355.1918338522285
619879.5155143251,4196016.845070873,352.4152156086641
619881.8804777127,4196012.5663405,349.70888025580587
619884.2452451821,4196008.287964585,347.07316339087674
619886.6092217218,4196004.011019633,344.50836193655573
619888.9717949053,4195999.736613655,342.014734140978
619891.3323348911,4195995.465886173,339.59249957773466
619893.6901944235,4195991.20000821,337.2418391458728
619896.044708831,4195986.940182301,334.9628950698957
619898.3951960275,4195982.687642489,332.75577089976247
619900.7409565118,4195978.443654321,330.6205315108883
619903.0812733675,4195974.209514855,328.55720310414455
619905.4154122637,4195969.986552655,326.5657732058586
619907.7426214544,4195965.776127791,324.64619066781347
619910.0621317786,4195961.579631842,322.79836566724885
619912.37315666,4195957.398487894,321.0221697068598
619914.6748921078,4195953.234150541,319.317435614798
619916.9665167162,4195949.088105884,317.68395754467076
619919.2471916642,4195944.961871532,316.12149097554146
619921.5160607158,4195940.8569966,314.6297527119298
619923.7722502202,4195936.775061712,313.20842088381113
619926.0148691117,4195932.717678998,311.85713494661707
619928.2430089095,4195928.686492097,310.5754956812352
619930.4557437178,4195924.683176154,309.36306519400904
619932.6521302261,4195920.709437823,308.21936691673835
619934.8312077085,4195916.767015264,307.14388560667874
619936.9919980243,4195912.857678145,306.13606734654195
619939.1335056181,4195908.983227642,305.19531954449565
619941.2547175193,4195905.145496437,304.3210109341636
619943.3546033422,4195901.3463487215,303.5124715746255
619945.4321152865,4195897.587680193,302.7689928504174
619947.4861881365,4195893.871418055,302.08982747153095
619949.5157392619,4195890.199521023,301.47418947341407
619951.5196686172,4195886.573979315,300.9212542169706
619953.4968587422,4195882.996814659,300.43015838856076
