x,y,z
620213.6384664014,4196625.1943239635,627.6986321410772
620215.3700574535,4196621.588331663,622.5485885171765
620217.1021588666,4196617.98127655,617.3194243624821
620218.8352667172,4196614.372125558,612.0186328813305
620220.5698614981,4196610.759878073,606.6535459257291
620222.3064081179,4196607.143565935,601.2313339953581
620224.0453559022,4196603.522253436,595.7590062375685
620225.7871385935,4196599.895037318,590.2434104473832
620227.5321743503,4196596.261046778,584.6912330674975
620229.2808657471,4196592.619443466,579.1089991882772
620231.0335997755,4196588.96942148,573.5030725477608
620232.7907478432,4196585.310207375,567.8796555316583
620234.5526657748,4196581.641060155,562.2447891733509
620236.3196938108,4196577.961271279,556.6043531538924
620238.0921566086,4196574.2701646555,550.9640658020074
620239.8703632414,4196570.567096649,545.3294840940931
620241.6546072002,4196566.851456072,539.7060036542177
620243.445166391,4196563.122664193,534.0988587541216
620245.242303137,4196559.380174728,528.5131223132165
620247.0462641773,4196555.623473853,522.9537058985859
620248.8572806682,4196551.85208019,517.4253597249852
620250.6755681819,4196548.065544815,511.9326726548416
620252.5013267074,4196544.263451257,506.48007219825377
620254.3347406499,4196540.445415496,501.07182451299207
620256.1759788314,4196536.611085966,495.7120344044987
620258.0251944897,4196532.760143554,490.4046453258877
620259.8825252798,4196528.892301594,485.1534393779445
620261.7480932726,4196525.007305879,479.9620373091266
620263.6220049555,4196521.104934652,474.8338985155628
620265.5043512329,4196517.184998606,469.77232104105394
620267.3952074252,4196513.247340889,464.78044157707257
620269.2946332692,4196509.291837099,459.86123546276275
620271.2026729183,4196505.3183952905,455.01751668494046
620273.1193549423,4196501.326955966,450.2519378780932
620275.0446923277,4196497.317492081,445.5669903243804
620276.9786824771,4196493.290009045,440.96500395363296
620278.9213072099,4196489.244544719,436.4481473433539
620280.8725327611,4196485.181169418,432.01842771871736
620282.8323097834,4196481.099985905,427.67769095256955
620284.8005733453,4196477.0011294,423.42762156542847
620286.7772429315,4196472.884767572,419.2697427254836
620288.7622224439,4196468.751100546,415.2054162485963
620290.7554002001,4196464.600360894,411.23584259829977
620292.7566489347,4196460.4328136435,407.36206088579854
620294.7658257982,4196456.2487562755,403.584948869969
620296.7827723582,4196452.048518722,399.90522295735946
620298.8073145982,4196447.832463367,396.3234382021899
620300.8392629186,4196443.6009850465,392.83998830635164
620302.8784121356,4196439.35451105,389.45510561940813
620304.924541483,4196435.093501117,386.1688611385945
620306.9774146099,4196430.818447444,382.9811645088173
620309.0367795825,4196426.529874674,379.89176402265514
620311.1023688831,4196422.228339907,376.9002466203581
620313.1738994105,4196417.914432693,374.0060378898481
620315.2510724803,4196413.588775036,371.2084020667186
620317.3335738245,4196409.252021387,368.506442034235
620319.4210735909,4196404.904858658,365.89909932333444
620321.5132263444,4196400.548006208,363.3851541126254
620323.6096710664,4196396.182215846,360.96322522838864
620325.7100311543,4196391.808271839,358.6317701445761
620327.8139144223,4196387.426990904,356.3890849828116
620329.9209131007,4196383.03922221,354.2333045123908
620332.0306038369,4196378.645847376,352.1624021502812
620334.142547694,4196374.247780479,350.17418996112156
620336.2562901521,4196369.8459680425,348.26631865722266
620338.3713611076,4196365.441389046,346.436277598567
620340.4872748732,4196361.035054918,344.68139479280876
620342.6035301781,4196356.628009546,342.9988368952738
620344.7196101681,4196352.221329261,341.3856092089596
620346.8349824055,4196347.816122852,339.8385556845356
620348.9490988688,4196343.41353156,338.3543589203427
620351.061395953,4196339.014729076,336.9295401623937
620353.1712944696,4196334.620921546,335.560459304373
620355.2781996469,4196330.233347565,334.24331488763687
620357.3815011291,4196325.853278182,332.974144101213
620359.4805729771,4196321.4820169015,331.7488227818011
620361.5747736684,4196317.120899674,330.5630654137724
620363.6634460969,4196312.771294908,329.41242512916995
620365.7459175724,4196308.43460346,328.2922937077084
620367.8214998218,4196304.112258644,327.19790157677426
620369.8894889886,4196299.805726219,326.1243178114257
620371.949165632,4196295.516504403,325.06645013439254
620373.9997947284,4196291.246123863,324.0190449160764
620376.04062567,4196286.99614772,322.9766871745506
620378.0708922659,4196282.768171546,321.93380057556
620380.0898127417,4196278.563823366,320.8846474325214
620382.096589739,4196274.384763655,319.8233287065232
620384.0904103166,4196270.232685344,318.7437840063257
620386.070445949,4196266.109313815,317.6397915883608
620388.0358525272,4196262.016406902,316.50496835673175
620389.9857703595,4196257.955754891,315.33276986321414
620391.9193241694,4196253.929180521,314.1164903072548
620393.835623098,4196249.938538982,312.8492625359725
620395.7337607023,4196245.985717918,311.5240580441577
620397.6128149554,4196242.072637425,310.1336869742725
620399.471848248,4196238.201250048,308.67079811645095
620401.3099073858,4196234.373540793,307.12787890849825
620403.1260235922,4196230.591527107,305.49725543589204
620404.9192125063,4196226.857258898,303.7710924317812
620406.6884741839,4196223.172818524,301.94139327698633
