x,y,z
620765.6519639113,4197013.723194018,606.3712132495147
620766.8565270887,4197010.975480865,603.1819818447908
620768.0614516172,4197008.226943438,599.9965349407372
620769.2670988472,4197005.476757467,596.8148343100742
620770.4738301298,4197002.724098677,593.6368417255226
620771.6820068161,4196999.968142796,590.4625189598025
620772.891990257,4196997.208065552,587.2918277856347
620774.1041418029,4196994.44304267,584.1247299757397
620775.3188228054,4196991.67224988,580.9611873028382
620776.5363946146,4196988.894862909,577.80116153965
620777.7572185821,4196986.110057482,574.6446144588963
620778.9816560581,4196983.317009329,571.4915078332971
620780.2100683941,4196980.514894174,568.3418034355732
620781.4428169407,4196977.702887747,565.1954630384452
620782.6802630486,4196974.880165776,562.0524484146332
620783.9227680692,4196972.045903984,558.9127213368582
620785.1706933528,4196969.199278103,555.7762435778403
620786.4244002508,4196966.339463859,552.6429769103001
620787.684250114,4196963.465636976,549.5128831069586
620788.9506042928,4196960.576973186,546.3859239405355
620790.2238241385,4196957.672648214,543.2620611837516
620791.504271002,4196954.751837785,540.1412566093276
620792.792306234,4196951.813717632,537.0234719899837
620794.0882911856,4196948.857463476,533.9086690984407
620795.3925872075,4196945.882251048,530.7968097074189
620796.7055556506,4196942.887256075,527.687855589639
620798.0275578658,4196939.871654284,524.5817685178213
620799.3589552043,4196936.834621401,521.4785102646864
620800.7001090164,4196933.775333155,518.3780426029549
620802.0513806534,4196930.692965272,515.280327305347
620803.4131314661,4196927.58669348,512.1853261445834
620804.7857228054,4196924.455693506,509.09300089338467
620806.1695160222,4196921.299141076,506.0033133244713
620807.5648724673,4196918.11621192,502.91622521056365
620808.9721534918,4196914.906081764,499.83169832438233
620810.3917204462,4196911.667926334,496.74969443864785
620811.8239346817,4196908.40092136,493.67017532608077
620813.2691575491,4196905.104242565,490.5931027594014
620814.7277503991,4196901.777065681,487.5184385113303
620816.2000745828,4196898.418566434,484.4461443545881
620817.6864914511,4196895.027920548,481.3761820618952
620819.187362355,4196891.604303754,478.3085134059721
620820.703048645,4196888.146891777,475.2431001595394
620822.2339116724,4196884.654860346,472.1799040953175
620823.7803127877,4196881.127385188,469.11888698602684
620825.342613342,4196877.563642029,466.060010604388
620826.9211746862,4196873.962806597,463.00323672312163
620828.516358171,4196870.32405462,459.9485271149481
620830.1285251474,4196866.646561825,456.89584355258773
620831.7580369664,4196862.929503937,453.84514780876134
620833.4052549789,4196859.172056686,450.79640165618935
620835.0705405355,4196855.3733958,447.74956686759214
620836.7542549875,4196851.532697002,444.7046052156903
620838.4567596854,4196847.649136024,441.6614784732044
620840.1784159802,4196843.72188859,438.62014841285475
620841.9195852231,4196839.750130428,435.58057680736204
620843.6806287644,4196835.733037266,432.5427254294467
620845.4619079555,4196831.669784831,429.50655605182914
620847.263784147,4196827.559548851,426.47203044723
620849.0866186898,4196823.401505052,423.43911038836984
620850.930772935,4196819.194829162,420.407757647969
620852.7966082334,4196814.938696908,417.37793399874795
620854.6844859356,4196810.632284017,414.3496012134274
620856.5947673927,4196806.274766217,411.3227210647277
620858.5278139559,4196801.865319234,408.2972553253694
620860.4839869755,4196797.403118798,405.2731657680729
620862.4636478028,4196792.887340632,402.25041416555894
620864.4671577885,4196788.317160468,399.22896229054777
620866.4948782837,4196783.691754029,396.20877191576005
620868.547170639,4196779.010297045,393.1898048139163
620870.6243962054,4196774.271965243,390.1720227577369
620872.7269163337,4196769.475934349,387.1553875199424
620874.8550923751,4196764.621380091,384.1398608732533
620877.00928568,4196759.707478195,381.1254045903902
620879.1898575999,4196754.7334043905,378.1119804440735
620881.3971694851,4196749.698334405,375.09955020702364
620883.6315826868,4196744.601443964,372.0880756519613
620885.8934585558,4196739.441908794,369.07751855160683
620888.1831584428,4196734.218904626,366.0678406786808
620890.5010436992,4196728.931607183,363.0590038059037
620892.8474756754,4196723.579192195,360.05096970599607
620895.2228157226,4196718.160835388,357.0437001516784
620897.6274251915,4196712.675712489,354.0371569156712
620900.061665433,4196707.122999227,351.0313017706949
620902.525897798,4196701.501871327,348.02609648947004
620905.0204836372,4196695.81150452,345.02150284471713
620907.5457843019,4196690.051074528,342.0174826091567
620910.1021611429,4196684.219757082,339.0139975555092
620912.6899755107,4196678.316727908,336.0110094564952
620915.3095887566,4196672.341162734,333.00848008483507
620917.9613622313,4196666.2922372855,330.0063712132495
620920.6456572856,4196660.169127293,327.00464461445887
620923.3628352707,4196653.9710084805,324.00326206118376
620926.113257537,4196647.697056578,321.0021853261446
620928.8972854359,4196641.34644731,318.0013761820619
620931.7152803179,4196634.918356406,315.00079640165615
620934.5676035342,4196628.411959591,312.00040775764796
620937.4546164355,4196621.826432595,309.00017202275774
620940.3766803726,4196615.160951144,306.000050969706
620943.3341566967,4196608.414690965,303.00000637121326
