x,y,z,t
619517.2830185154,4195509.306813673,669.851134292892,4241002.240923576
619519.2774483606,4195505.873922529,663.0989198957262,4240999.1361999335
619521.2423435476,4195502.491867601,656.4300462116476,4240996.077454228
619523.1783159388,4195499.159595728,649.8440259598416,4240993.063733911
619525.0859834248,4195495.876043371,643.3403646237657,4240990.094077054
619526.9659699239,4195492.640136619,636.9185604511497,4240987.167512352
619528.8189053828,4195489.450791181,630.5781044539955,4240984.283059109
619530.6454257768,4195486.306912394,624.3184804085777,4240981.439727258
619532.446173109,4195483.207395215,618.1391648554426,4240978.636517339
619534.2217954105,4195480.151124226,612.0396270994084,4240975.872420521
619535.9729467412,4195477.136973637,606.0193292095663,4240973.146418587
619537.7002871886,4195474.163807276,600.07772601928,4240970.457483935
619539.4044828687,4195471.2304786,594.2142651261843,4240967.804579587
619541.0862059261,4195468.335830687,588.4283868921868,4240965.18665918
619542.7461345326,4195465.47869624,582.7195244434677,4240962.6026669685
619544.3849528892,4195462.657897586,577.087103670479,4240960.051537828
619546.0033512242,4195459.872246677,571.5305432279447,4240957.532197249
619547.6020257953,4195457.120545086,566.0492545348617,4240955.043561342
619549.1816788872,4195454.401584014,560.6426417744988,4240952.584536835
619550.7430188131,4195451.714144286,555.3101018943967,4240950.154021076
619552.286759915,4195449.056996344,550.0510246063686,4240947.750902026
619553.813622562,4195446.428900264,544.8647923865003,4240945.37405827
619555.3243331527,4195443.8286057385,539.7507804751492,4240943.022359005
619556.8196241132,4195441.254852087,534.7083568769455,4240940.694664051
619558.3002338975,4195438.7063682545,529.736882360791,4240938.389823843
619559.7669069885,4195436.181872807,524.8357104598604,4240936.106679435
619561.2203938968,4195433.680073936,520.0041874716001,4240933.844062497
619562.6614511615,4195431.199669456,515.2416524577291,4240931.600795317
619564.0908413494,4195428.73934681,510.5474372442384,4240929.375690808
619565.5093330564,4195426.297783056,505.9208664213911,4240927.167552488
619566.9177009056,4195423.873644886,501.3612573437233,4240924.975174503
619568.3167255488,4195421.465588608,496.8679201300422,4240922.79734161
619569.7071936664,4195419.07226016,492.4401576634281,4240920.632829191
619571.0898979659,4195416.692295101,488.07726559123296,4240918.480403239
619572.4656371842,4195414.324318614,483.77853232508164,4240916.338820367
619573.8352160855,4195411.966945507,479.5432390408704,4240914.206827808
619575.1994454628,4195409.618780211,475.37065967876856,4240912.083163409
619576.5591421368,4195407.278416783,471.2600609432169,4240909.966555636
619577.9151289568,4195404.944438901,467.2107023029289,4240907.855723574
619579.2682348,4195402.61541987,463.2218359908903,4240905.749376925
619580.6192945719,4195400.289922617,459.2927070043588,4240903.646216007
619581.9691492066,4195397.966499694,455.4225531048645,4240901.544931758
619583.3186456659,4195395.643693277,451.6106048182098,4240899.444205734
619584.6686369397,4195393.320035164,447.85608543446915,4240897.342710105
619586.0199820464,4195390.994046782,444.1582110079891,4240895.239107663
619587.3735460329,4195388.664239177,440.516190357389,4240893.132051815
619588.7301999733,4195386.3291130215,436.92922506555993,4240891.020186589
619590.0908209712,4195383.9871586105,433.39650947966516,4240888.902146626
619591.4562921573,4195381.636855864,429.9172307111405,4240886.7765571885
619592.8275026911,4195379.2766743265,426.4905686356941,4240884.642034156
619594.2053477601,4195376.905073167,423.11569589330577,4240882.497184027
619595.59072858,4195374.520501175,419.791777888228,4240880.340603913
619596.9845523947,4195372.121396769,416.51797278898533,4240878.170881551
619598.3877324765,4195369.706187988,413.29343152837475,4240875.986595289
619599.8011881255,4195367.273292495,410.11729780346514,4240873.786314097
619601.2258446706,4195364.82111758,406.98870807559786,4240871.5685975645
619602.662633468,4195362.348060154,403.90679157038653,4240869.331995893
619604.1124919029,4195359.852506754,400.8706702777167,4240867.075049909
619605.5763633886,4195357.332833541,397.8794589517465,4240864.796291054
619607.055197366,4195354.787406296,394.9322651109062,4240862.494241387
619608.549949305,4195352.21458043,392.0281890378981,4240860.167413587
619610.0615807032,4195349.612700975,389.1663237796969,4240857.814310951
619611.5910590864,4195346.980102586,386.3457551475494,4240855.433427395
619613.1393580087,4195344.315109544,383.565561716975,4240853.023247452
619614.7074570528,4195341.616035755,380.82481482776495,4240850.5822462775
619616.2963418288,4195338.881184745,378.12257858398266,4240848.108889639
619617.9070039754,4195336.108849667,375.4579098539642,4240845.601633931
619619.5404411599,4195333.297313299,372.8298582703176,4240843.05892616
619621.1976570769,4195330.44484804,370.23746622992303,4240840.479203957
619622.87966145,4195327.549715915,367.67976889393304,4240837.860895567
619624.5874700308,4195324.610168571,365.15579418777247,4240835.2024198575
619626.322104599,4195321.624447282,362.6645628011381,4240832.502186317
619628.0845929622,4195318.590782946,360.2050881879993,4240829.758595049
619629.8759689567,4195315.5073960805,357.7763765665975,4240826.9700367795
619631.6972724469,4195312.372496833,355.3774269194463,4240824.134892856
619633.5495493253,4195309.18428497,353.00723099333163,4240821.25153524
