UTM_X,UTM_Y,elevation
619102.9384712562,4195791.4194424674,694.006225585938
619138.2026840490,4195887.6076332005,692.417663574219
619205.8324652064,4195961.7364807287,681.70458984375
619304.9618155658,4196022.7852398371,666.447631835938
619410.7616193490,4196074.0894710729,658.717041015625
619909.1731358006,4196377.7473449754,628.44482421875
620539.6401373364,4196890.1444529584,626.899658203125
620970.6590398200,4197125.8169580167,587.750610351562
621197.3506878890,4197254.8054428771,584.183898925781
621354.1290587714,4197309.6931671491,564.303588867188
