x,y,z
619486.4105495177,4196728.05699144,751.4477469805643
619490.280445496,4196721.055512453,747.4022252745699
619494.1497621842,4196714.055081526,743.3796005434145
619498.0179221925,4196707.056743284,739.377149418173
619501.8843502033,4196700.0615385985,735.3922761145882
619505.7484729722,4196693.070504596,731.4225124330717
619509.609719326,4196686.08467465,727.4655177587032
619513.4675201661,4196679.105078384,723.5190790612301
619517.3213084646,4196672.132741673,719.5811108950691
619521.1705192669,4196665.168686644,715.6496553993036
619525.014589691,4196658.21393167,711.7228822976872
619528.8529589276,4196651.269491378,707.7990888986401
619532.6850682399,4196644.336376643,703.8767000952512
619536.5103609633,4196637.415594592,699.9542683652786
619540.3282825068,4196630.508148601,696.030473771147
619544.1382803502,4196623.615038296,692.104123959951
619547.9398040479,4196616.737259555,688.1741541634523
619551.7323052253,4196609.875804503,684.2396271980808
619555.5152375817,4196603.031661522,680.2997334649363
619559.2880568873,4196596.205815234,676.3537909497843
619563.0502209865,4196589.399246521,672.4012452230605
619566.8011897954,4196582.61293251,668.4416694398681
619570.5404253029,4196575.847846579,664.4747643399785
619574.2673915704,4196569.104958358,660.500358247832
619577.981554732,4196562.3852337245,656.5184070725359
619581.6823829943,4196555.689634808,652.5289943078672
619585.3693466366,4196549.01911999,648.5323310322701
619589.0419180102,4196542.3746438995,644.5287559088576
619592.6995715401,4196535.757157414,640.5187351854106
619596.3417837227,4196529.167607667,636.5028626943782
619599.9680331278,4196522.606938037,632.4818598528784
619603.5778003973,4196516.076088157,628.4565756626969
619607.1705682459,4196509.575993906,624.4279867102875
619610.7458214606,4196503.107587416,620.3971971667728
619614.3030469015,4196496.67179707,616.365438787943
619617.8417335008,4196490.269547499,612.3340709142573
619621.3613722634,4196483.9017595835,608.3045804708426
619624.8614562666,4196477.569350459,604.2785819674937
619628.341480661,4196471.273233507,600.2578174986749
619631.8009426687,4196465.014318359,596.2441567435172
619635.2393415852,4196458.793510902,592.2395969658214
619638.6561787785,4196452.611713264,588.2462630140554
619642.0509576886,4196446.469823833,584.2664073213558
619645.4231838287,4196440.368737241,580.3024099055273
619648.7723647843,4196434.3093443755,576.356778369043
619652.0980102131,4196428.292532368,572.4321478990439
619655.3996318462,4196422.319184603,568.5312812673401
619658.676743487,4196416.390180717,564.657068830409
619661.9288610107,4196410.506396596,560.8125285293966
619665.1555023664,4196404.668704375,557.0008058901171
619668.3561875748,4196398.877972437,553.2251740230536
619671.5304387292,4196393.135065422,549.4890336233561
619674.677779996,4196387.440844215,545.7959129708441
619677.7977376138,4196381.796165954,542.1494679300047
619680.8898398939,4196376.201884024,538.5534819499935
619683.9536172203,4196370.658848063,535.0118660646342
619686.988602049,4196365.167903958,531.5286588924189
619689.9943289096,4196359.729893846,528.1080266365075
619692.9703344031,4196354.345656119,524.7542630847289
619695.916157204,4196349.016025412,521.4717896095799
619698.8313380588,4196343.741832613,518.2651551682252
619701.715419787,4196338.523904861,515.1390363024982
619704.5679472804,4196333.363065547,512.0982371389003
619707.3884675034,4196328.2601343095,509.1476893886016
619710.1765294928,4196323.215927037,506.2924523474396
619712.9316843586,4196318.23125587,503.537712895921
619715.6534852828,4196313.3069292,500.88878549922003
619718.3414875201,4196308.443751665,498.3511122071794
619720.9952483979,4196303.642524157,495.93026265431035
619723.6143273162,4196298.904043816,493.6319340597918
619726.1982857471,4196294.229104035,491.46195122747156
619728.7466872358,4196289.618494454,489.42626654586525
619731.2590974001,4196285.073000964,487.5309599881567
619733.73508393,4196280.593405709,485.7822391121984
619736.1742165883,4196276.180487079,484.18643906051074
619738.5760672104,4196271.835019718,482.7500225602822
619740.9402097043,4196267.557774519,481.4795799233701
619743.2662200503,4196263.349518623,480.3818290462997
619745.5536763016,4196259.211015427,479.4636154102642
619747.8021585837,4196255.14302457,478.73191208112553
619750.0112490947,4196251.146301949,478.19381970941356
619752.1805321058,4196247.221599708,477.8565665303265
619754.3095939602,4196243.36966624,477.727508363731
619756.3980230736,4196239.59124619,477.8141286141615
619758.4454099346,4196235.887080453,478.1240382708212
619760.4513471046,4196232.257906174,478.66497590758127
619762.415429217,4196228.704456748,479.44480768298115
619764.3372529781,4196225.227461822,480.47152734022853
619766.2164171665,4196221.827647291,481.75325620719946
619768.0525226339,4196218.505735301,483.29824319643797
619769.8451723042,4196215.262444249,485.1148648051568
619771.5939711737,4196212.098488782,487.21162511523636
619773.2985263118,4196209.014579795,489.5971557932259
619774.9584468601,4196206.011424437,492.2802160903423
619776.5733440326,4196203.089726105,495.26969284247133
619778.1428311164,4196200.250184448,498.5746004701666
619779.6665234709,4196197.493495363,502.2040809786499
619781.1440385281,4196194.820350998,506.1674039578116
619782.5749957924,4196192.231439752,510.47396658221004
619783.959016841,4196189.727446273,515.1332936110722
