x,y,z
620276.7457949304,4196493.774991164,733.7406500971359
620282.0590790526,4196482.710218331,732.3900986075337
620287.1844936351,4196472.036678815,730.7232941363532
620292.1330215061,4196461.731501172,728.7560216716483
620296.9153551217,4196451.772418643,726.5035510004793
620301.5419020179,4196442.137757814,723.9806468640212
620306.0227902657,4196432.806427244,721.2015791126787
620310.3678739258,4196423.757906115,718.1801328611981
620314.5867385031,4196414.972232869,714.9296186437787
620318.6887063984,4196406.429993853,711.4628825691843
620322.6828423664,4196398.1123119565,707.7923164758579
620326.577958967,4196390.000835259,703.9298680870315
620330.3826220213,4196382.077725665,699.8870511658397
620334.1051560646,4196374.325647552,695.674955670431
620337.7536498017,4196366.727756406,691.3042579090808
620341.33596156,4196359.267687472,686.7852306953029
620344.8597247455,4196351.929544381,682.1277535029618
620348.3323532946,4196344.697887812,677.3413226213859
620351.7610471307,4196337.557724113,672.4350613104783
620355.1527976163,4196330.494493958,667.4177299558295
620358.5143930097,4196323.49406098,662.2977362238297
620361.8524239167,4196316.542700419,657.0831452167814
620365.1732887471,4196309.627087756,651.7816896280109
620368.4831991666,4196302.734287363,646.4007798969808
620371.7881855539,4196295.851741134,640.9475143644025
620375.0941024518,4196288.967257142,635.4286894273476
620378.406634024,4196282.068998268,629.850809694361
620381.7312995079,4196275.145470845,624.2200981405724
620385.0734586696,4196268.185513304,618.5425062628091
620388.4383172572,4196261.178284811,612.8237242347072
620391.8309324568,4196254.113253913,607.0691910618254
620395.2562183441,4196246.980187176,601.2841047367558
620398.7189513412,4196239.76913783,595.4734323942366
620402.2237756699,4196232.470434405,589.6419204662644
620405.7752088049,4196225.074669382,583.7941048372059
620409.3776469298,4196217.572687823,577.9343209989111
620413.0353703902,4196209.955576025,572.0667142058245
620416.7525491479,4196202.214650151,566.1952496300975
620420.5332482362,4196194.341444879,560.3237225167011
620424.3814332129,4196186.32770204,554.4557683385376
620428.3009756153,4196178.16535926,548.5948729515533
620432.2956584141,4196169.846538602,542.7443827498499
620436.3691814682,4196161.363535211,536.9075148207977
620440.5251669774,4196152.708805951,531.0873671001465
620444.7671649391,4196143.874958048,525.2869285271393
620449.0986586,4196134.854737732,519.5090891996233
620453.5230699122,4196125.641018878,513.7566505291627
620458.0437649868,4196116.22679165,508.0323353961514
620462.6640595477,4196106.605151143,502.3387983049232
620467.3872243864,4196096.769286017,496.6786355388668
620472.2164908164,4196086.712467152,491.0543953155355
620477.1550561266,4196076.428036275,485.468587941761
620482.2060890365,4196065.909394615,479.92369596876495
620487.3727351497,4196055.149991535,474.42218434727124
620492.6581224083,4196044.143313177,468.96651058261807
620498.065366548,4196032.882871106,463.5591348898705
620503.5975765511,4196021.362190951,458.2025303489325
620509.2578601013,4196009.57480104,452.89919305965884
620515.0493290377,4195997.514221052,447.65165229696765
620520.9751048099,4195985.173950652,442.4624806659524
620527.038323931,4195972.547458134,437.33430425699464
620533.2421434328,4195959.6281690635,432.26981280087534
620539.5897463196,4195946.4094549185,427.27176982388755
620546.084347022,4195932.884621734,422.3430228029488
620552.7291968525,4195919.046898737,417.48651332071273
620559.5275894585,4195904.889426995,412.70528722068207
620566.4828662769,4195890.405248054,408.00250476232
620573.5984219884,4195875.587292582,403.3814507761627
620580.8777099716,4195860.428369011,398.845544818932
620588.3242477579,4195844.921152174,394.39835132864687
620595.9416224845,4195829.058171953,390.04358977973607
620603.7334963497,4195812.831801918,385.7851448381499
620611.7036120668,4195796.2342479685,381.62707651647315
620619.8557983185,4195779.257536975,377.5736303290364
620628.1939752104,4195761.8935054215,373.6292474470289
620636.7221597265,4195744.133788044,369.7985748536105
620645.4444711823,4195725.969806478,366.08647549902395
620654.3651366796,4195707.3927579,362.4980384557068
620663.4884965605,4195688.393603659,359.0385890734041
620672.8190098623,4195668.9630579315,355.7136991342802
620682.3612597706,4195649.091576353,352.5291970080311
620692.1199590744,4195628.769344667,349.49117780699646
620702.0999556202,4195607.986267361,346.60601354127226
620712.306237766,4195586.731956313,343.88036327382247
620722.7439398358,4195564.995719431,341.32118327559164
620733.4183475735,4195542.766549292,338.9357371806168
620744.3349035977,4195520.033111788,336.7316061411399
620755.4992128554,4195496.783734767,334.71669898271966
620766.9170480763,4195473.006396671,332.8992623593445
620778.5943552275,4195448.688715184,331.2878909085439
620790.5372589673,4195423.817935867,329.891537406501
620802.7520680996,4195398.380920803,328.7195229231647
620815.2452810277,4195372.364137242,327.78154697736227
620828.02359121,4195345.753646233,327.08769769191065
620841.0938926119,4195318.535091277,326.6484619487295
620854.4632851621,4195290.693686961,326.47473554395316
620868.1390802063,4195262.214207604,326.5778333430426
620882.1288059603,4195233.080975894,326.96949943589783
620896.4402129661,4195203.277851535,327.66191729197
620911.0812795447,4195172.788219886,328.66771991537405
