x,y,z,t
619272.2444088814,4195931.076912484,704.3080093153997,4241383.702861033
619274.2537686462,4195927.6183233755,705.2906556594157,4241380.574717339
619276.2628919267,4195924.1601413125,706.1847562255081,4241377.446943265
619278.2715495361,4195920.702760781,706.9925767723362,4241374.319895606
619280.2795202484,4195917.246562564,707.7163624924825,4241371.19391876
619282.2865907975,4195913.791913743,708.358338012451,4241368.069344736
619284.2925558793,4195910.339167696,708.9207073926683,4241364.946493147
619286.2972181496,4195906.888664099,709.4056541274834,4241361.825671209
619288.3003882247,4195903.440728929,709.8153411451668,4241358.707173752
619290.3018846822,4195899.995674454,710.1519108079117,4241355.591283204
619292.3015340597,4195896.5537992455,710.4174849118339,4241352.478269607
619294.2991708564,4195893.115388171,710.6141646869706,4241349.368390604
619296.2946375312,4195889.680712394,710.744030797282,4241346.261891445
619298.2877845049,4195886.25002938,710.8091433406502,4241343.159004991
619300.278470158,4195882.823582887,710.8115418488796,4241340.059951703
619302.266560832,4195879.401602974,710.7532452876968,4241336.964939654
619304.2519308293,4195875.984305997,710.6362520567505,4241333.874164522
619306.2344624128,4195872.57189461,710.4625399896122,4241330.787809588
619308.2140458062,4195869.164557763,710.234066353775,4241327.706045746
619310.1905791935,4195865.762470707,709.952767850654,4241324.629031492
619312.1639687202,4195862.365794988,709.6205606155877,4241321.556912932
619314.1341284916,4195858.97467845,709.2393402178358,4241318.489823774
619316.1009805748,4195855.589255236,708.8109816605805,4241315.427885338
619318.0644549966,4195852.209645785,708.3373393809263,4241312.371206547
619320.0244897448,4195848.835956836,707.8202472499,4241309.319883933
619321.981030768,4195845.468281425,707.2615185724507,4241306.274001636
619323.9340319757,4195842.106698882,706.6629460874494,4241303.2336313985
619325.8834552377,4195838.75127484,706.0263019676896,4241300.198832572
619327.8292703846,4195835.402061229,705.3533378198872,4241297.169652119
619329.7714552081,4195832.059096273,704.6457846846795,4241294.146124604
619331.7099954601,4195828.722404497,703.9053530366274,4241291.128272198
619333.6448848533,4195825.391996722,703.1337327842127,4241288.116104682
619335.5761250613,4195822.067870069,702.3325932698406,4241285.109619444
619337.5037257184,4195818.7500079535,701.5035832698372,4241282.108801478
619339.4277044195,4195815.438380092,700.6483309944524,4241279.113623384
619341.34808672,4195812.132942497,699.768444087857,4241276.124045373
619343.2649061366,4195808.833637477,698.8655096281448,4241273.1400152575
619345.1782041459,4195805.540393642,697.9410941273313,4241270.161468462
619347.0880301858,4195802.253125898,696.9967435313547,4241267.188328016
619348.9944416546,4195798.971735448,696.0339832200754,4241264.220504557
619350.8975039116,4195795.696109792,695.0543180072758,4241261.25789633
619352.7972902766,4195792.4261227315,694.0592321406607,4241258.3003891865
619354.6938820303,4195789.161634361,693.0501893018569,4241255.347856585
619356.5873684136,4195785.902491078,692.0286326064138,4241252.400159594
619358.4778466285,4195782.648525571,690.9959846038028,4241249.457146886
619360.3654218377,4195779.399556832,689.9536472774175,4241246.518654741
619362.2502071647,4195776.155390149,688.9030020445739,4241243.584507052
619364.1323236935,4195772.915817105,687.84540975651,4241240.65451531
619366.0119004686,4195769.680615586,686.7822106983863,4241237.728478624
619367.8890744958,4195766.449549772,685.7147245892854,4241234.806183701
619369.7639907409,4195763.22237014,684.6442505822124,4241231.887404862
619371.6368021313,4195759.998813467,683.5720672640942,4241228.971904033
619373.507669554,4195756.778602828,682.4994326557801,4241226.059430748
619375.3767618577,4195753.561447593,681.4275842120419,4241223.149722148
619377.2442558513,4195750.347043433,680.3577388215729,4241220.242502983
619379.110336304,4195747.135072316,679.2910928069896,4241217.337485611
619380.9751959469,4195743.925202504,678.2288219248301,4241214.434369995
619382.8390354705,4195740.717088561,677.172081365555,4241211.532843707
619384.7020635272,4195737.510371347,676.122005753547,4241208.632581929
619386.5644967288,4195734.304678021,675.0797091471109,4241205.733247447
619388.4265596491,4195731.099622038,674.0462850384743,4241202.834490659
619390.2884848216,4195727.8948031515,673.0228063537863,4241199.935949565
619392.1505127412,4195724.689807413,672.0103254531188,4241197.037249779
619394.0128918628,4195721.484207173,671.0098741304656,4241194.138004523
619395.8758786027,4195718.277561074,670.022463613743,4241191.237814617
619397.7397373377,4195715.069414064,669.0490845647892,4241188.336268502
619399.6047404051,4195711.8592973845,668.0907070793651,4241185.43294222
619401.4711681029,4195708.646728575,667.1482806871533,4241182.527399422
619403.3393086903,4195705.4312114725,666.2227343517591,4241179.619191364
619405.2094583863,4195702.212236213,665.3149764707096,4241176.707856917
619407.0819213714,4195698.989279228,664.4258948754548,4241173.792922555
619408.9570097866,4195695.761803251,663.5563568313662,4241170.873902361
619410.8350437335,4195692.529257309,662.7072090377376,4241167.950298027
619412.7163512745,4195689.291076727,661.8792776277859,4241165.021598852
619414.6012684326,4195686.04668313,661.073368168649,4241162.087281744
619416.4901391915,4195682.7954844395,660.2902656613883,4241159.14681122
619418.3833154954,4195679.536874876,659.5307345409863,4241156.199639405
619420.28115725,4195676.2702349555,658.7955186763483,4241153.245206029
619422.1840323207,4195672.994931493,658.0853413703019,4241150.282938436
619424.0923165344,4195669.7103176005,657.4009053595965,4241147.312251573
619426.0063936781,4195666.415732689,656.7428928149045,4241144.332547999
619427.9266555,4195663.110502467,656.11196534082,4241141.34321788
619429.8535017086,4195659.793938938,655.508763975859,4241138.34363899
619431.7873399734,4195656.465340407,654.9339091924603,4241135.333176713
619433.7285859244,4195653.1239914745,654.388000896985,4241132.31118404
619435.6776631525,4195649.769163041,653.8716184297158,4241129.277001574
619437.6350032088,4195646.400112302,653.3853205648586,4241126.22995752
619439.601045606,4195643.016082751,652.9296455105406,4241123.169367697
619441.5762378166,4195639.616304181,652.5051109088116,4241120.094535532
619443.5610352746,4195636.199992681,652.1122138356438,4241117.00475206
619445.555901374,4195632.76635064,651.7514308009315,4241113.899295925
619447.5613074697,4195629.314566742,651.4232177484912,4241110.777433379
619449.5777328778,4195625.843815969,651.1280100560616,4241107.638418283
619451.6056648744,4195622.353259604,650.8662225353036,4241104.48149211
619453.6455986968,4195618.842045224,650.6382494318007,4241101.305883936
619455.6980375426,4195615.309306705,650.4444644250581,4241098.110810451
619457.7634925704,4195611.754164222,650.2852206285038,4241094.895475954
619459.8424828995,4195608.175724246,650.1608505894875,4241091.659072352
619461.9355356101,4195604.573079544,650.0716662892817,4241088.400779157
619464.0431857423,4195600.945309186,650.0179591430801,4241085.119763498
