x,y,z
618694.704280386,4195782.959018202,732.9470254752395
618700.432087993,4195772.104141566,731.3017018757544
618705.9546821372,4195761.638168848,729.6568367197683
618711.2814323367,4195751.543343699,728.0072142461929
618716.4216078663,4195741.802099738,726.3478554396418
618721.3843780359,4195732.397060034,724.6740146350671
618726.1788124721,4195723.311036564,722.9811761223933
618730.813881398,4195714.527029691,721.2650507511546
618735.2984559117,4195706.028227628,719.52157253513
618739.641308268,4195697.798005908,717.7468952569782
618743.8511121584,4195689.819926854,715.9373890728743
618747.9364429892,4195682.077739053,714.0896371171457
618751.905778164,4195674.555376815,712.2004321069066
618755.7674973621,4195667.236959652,710.2667729466953
618759.5298828194,4195660.106791741,708.285861333108
618763.2011196072,4195653.149361401,706.2550983594365
618766.7892959135,4195646.349340551,704.1720811203021
618770.3024033225,4195639.6915841885,702.0345993162923
618773.7483370948,4195633.161129858,699.8406318585969
618777.1348964464,4195626.743197116,697.5883434736415
618780.4697848302,4195620.4231870035,695.2760813077266
618783.7606102155,4195614.186681514,692.9023715316603
618787.0148853675,4195608.019443062,690.4659159453956
618790.2400281278,4195601.907413959,687.9655885826655
618793.443361694,4195595.8367158715,685.4004323156189
618796.6321149006,4195589.793649299,682.7696554594563
618799.8134224978,4195583.764693042,680.0726283770654
618802.9943254326,4195577.736503669,677.3088800836566
618806.1817711277,4195571.6959149875,674.4780948513993
618809.3826137625,4195565.629937511,671.580108814057
618812.6036145535,4195559.525757931,668.6149065716234
618815.851442032,4195553.370738589,665.5826177949573
618819.1326723269,4195547.152416936,662.48351383042
618822.4537894428,4195540.858505014,659.3180043045087
618825.8211855411,4195534.476888916,656.0866337284941
618829.2411612194,4195527.99562826,652.7900781030555
618832.7199257921,4195521.402955658,649.4291415229159
618836.2635975692,4195514.687276185,646.004752781478
618839.8782041377,4195507.837166844,642.5179619754606
618843.5696826412,4195500.841376045,638.9699371095339
618847.3438800592,4195493.688823064,635.3619607009546
618851.2065534883,4195486.36859752,631.695426384202
618855.1633704214,4195478.869958839,627.9718355156144
618859.2199090272,4195471.182335728,624.1927937780231
618863.3816584318,4195463.29532564,620.3600077853897
618867.6540189974,4195455.198694248,616.4752816874416
618872.0423026031,4195446.882374906,612.5405137743069
618876.5517329236,4195438.336468133,608.5576930811503
618881.1874457111,4195429.551241065,604.5288959928093
618885.9544890742,4195420.517126937,600.4562828484299
618890.8578237577,4195411.224724548,596.3420945461012
618895.9023234232,4195401.664797729,592.1886491474927
618901.0927749288,4195391.828274814,587.9983384824889
618906.4338786092,4195381.70624811,583.7736247538248
618911.930248556,4195371.289973366,579.5170371417228
618917.5864128971,4195360.57086924,575.2311684085273
618923.4068140767,4195349.540516771,570.9186715033409
618929.3958091368,4195338.190658849,566.5822561666597
618935.5576699949,4195326.513199679,562.2246855350095
618941.8965837253,4195314.5002042595,557.8487727455812
618948.4166528396,4195302.143897842,553.4573775408664
618955.1218955659,4195289.436665406,549.0534028732936
618962.0162461284,4195276.371051131,544.639791509863
618969.1035550288,4195262.939757856,540.2195226367834
618976.3875893252,4195249.135646558,535.7956084641063
618983.872032912,4195234.95173582,531.3710908303632
618991.5604868012,4195220.381201295,526.9490378072005
618999.4564694008,4195205.417375183,522.5325403040154
619007.5634167959,4195190.053745692,518.124708672591
619015.8846830283,4195174.283956516,513.7286693117331
619024.4235403769,4195158.101806295,509.34756127190485
619033.1831796367,4195141.501248095,504.98453285986295
619042.1667104005,4195124.476388867,500.6427382432934
619051.3771613367,4195107.021488924,496.325334055447
619060.8174804716,4195089.130961405,492.03547599977526
619070.4905354676,4195070.799371751,487.77631545456563
619080.3991139045,4195052.021437164,483.5509960775777
619090.5459235588,4195032.792026088,479.36265041067884
619100.9335926835,4195013.106157668,475.2143964844794
619111.5646702893,4194992.959001227,471.1093344229691
619122.4416264227,4194972.345875735,467.05054304815206
619133.566852448,4194951.26224927,463.04107648468323
619144.9426613261,4194929.703738497,459.08396076450333
619156.571287895,4194907.666108131,455.18219043147496
619168.454889149,4194885.145270412,451.3387251460185
619180.5955445203,4194862.137284569,447.5564862897471
619192.9952561575,4194838.638356292,443.838353570103
619205.6559492061,4194814.644837202,440.18716162499294
619218.579472089,4194790.153224316,436.6056966274243
619231.7675967854,4194765.160159524,433.09669289013993
619245.2220191124,4194739.662429051,429.66282947025474
619258.9443590038,4194713.656962929,426.30672677389066
619272.9361607898,4194687.140834469,423.030943160813
619287.1988934781,4194660.111259727,419.8379715490656
619301.7339510344,4194632.565596973,416.73023601960705
619316.5426526594,4194604.5013461625,413.71008842094534
619331.6262430728,4194575.916148405,410.7798049737754
619346.9858927904,4194546.807785434,407.9415828756127
619362.6226984052,4194517.174179074,405.1975369054306
619378.5376828675,4194487.013390714,402.54969602829476
