x,y,z
620795.0796092564,4196946.5961809205,638.2176874047993
620800.9665473293,4196933.167564241,640.6460163085511
620806.5938594672,4196920.331176852,642.9135995806635
620811.978311565,4196908.048774293,645.0156285520052
620817.1359838629,4196896.283676139,646.9479105285934
620822.0822891245,4196885.000724541,648.706838964709
620826.8319905655,4196874.16624332,650.2893643259355
620831.3992195389,4196863.747997637,651.6929656421075
620835.7974929727,4196853.715154201,652.9156227501819
620840.0397305642,4196844.038242065,653.9557892270202
620844.1382717272,4196834.689113954,654.8123660120939
620848.1048922937,4196825.640908174,655.4846757201012
620851.9508209684,4196816.868011073,655.9724376435023
620855.6867555411,4196808.346020066,656.2757434449726
620859.3228788492,4196800.051707216,656.3950335397716
620862.8688744984,4196791.962983378,656.3310741680276
620866.3339423338,4196784.058862907,656.0849351569415
620869.7268136683,4196776.319428922,655.6579683729047
620873.0557662647,4196768.725799125,655.0517868635362
620876.3286390695,4196761.2600922,654.2682446896334
620879.5528467058,4196753.905394748,653.309417447044
620882.735393716,4196746.6457287995,652.1775834784498
620885.8828885611,4196739.466019882,650.8752057750711
620889.0015573733,4196732.352065649,649.4049145682859
620892.0972574636,4196725.290505062,647.7694906111647
620895.1754905841,4196718.26878815,645.9718491499265
620898.2414159421,4196711.275146312,644.0150245853056
620901.2998629718,4196704.298563191,641.9021558238401
620904.3553438579,4196697.328746101,639.6364723190744
620907.412065815,4196690.3560980195,637.2212808026786
620910.4739431201,4196683.371690141,634.6599527054872
620913.5446088995,4196676.367234992,631.9559122684495
620916.6274266713,4196669.335060092,629.1126253435032
620919.7255016405,4196662.268082201,626.1335888843585
620922.8416917492,4196655.159782104,623.0223211272031
620925.9786184812,4196648.00417997,619.7823524613227
620929.1386774209,4196640.795811263,616.417216989638
620932.3240485654,4196633.529703219,612.9304447791568
620935.5367063925,4196626.201351885,609.3255548013483
620938.7784296821,4196618.806699707,605.606048562427
620942.0508110921,4196611.342113696,601.7754044235584
620945.3552664879,4196603.80436414,597.8370726109794
620948.6930440272,4196596.190603883,593.7944709160362
620952.0652329985,4196588.4983481625,589.6509810851376
620955.4727724143,4196580.725455009,585.4099458996274
620958.9164593581,4196572.870106208,581.0746669455709
620962.3969570858,4196564.930788815,576.6484030734605
620965.9148028819,4196556.906277235,572.1343695478354
620969.4704156681,4196548.795615872,567.5357378868212
620973.0641033703,4196540.598102323,562.8556363915835
620976.6960700349,4196532.313271137,558.0971513657
620980.3664227023,4196523.940878148,553.2633290244479
620984.0751780341,4196515.480885348,548.3571780940092
620987.8222686953,4196506.933446335,543.3816731005927
620991.6075494894,4196498.298892314,538.3397583494716
620995.4308032475,4196489.577718666,533.2343525939389
620999.2917464743,4196480.770572069,528.0683543941798
621003.1900347462,4196471.8782381825,522.844648166059
621007.1252678632,4196462.901629899,517.5661109198272
621011.0969947568,4196453.841776142,512.2356196887428
621015.104718152,4196444.6998112425,506.8560596476101
621019.1478989816,4196435.4769648565,501.4303329212355
621023.2259605573,4196426.174552461,495.9613680827995
621027.338292494,4196416.793966399,490.4521303421455
621031.4842543871,4196407.3366674865,484.9056324239856
621035.6631792472,4196397.804177186,479.32494613602324
621039.8743766852,4196388.198070334,473.7132146269922
621044.1171358556,4196378.519968431,468.07366533461266
621048.390728151,4196368.771533495,462.40962362346306
621052.6944096519,4196358.954462469,456.7245271127711
621057.0274233321,4196349.070482195,451.0219406941181
621061.3890010164,4196339.121344951,445.3055722390631
621065.778365093,4196329.1088245325,439.5792889966817
621070.1947299817,4196319.034712919,433.8471346810228
621074.6373033542,4196308.900817479,428.1133472484816
621079.1052871108,4196298.708958748,422.38237736508904
621083.5978781092,4196288.460968763,416.6589075637189
621088.1142686495,4196278.158689956,410.9478720912105
621092.6536467122,4196267.803974616,405.25447744540907
621097.2151959519,4196257.398684897,399.5842236021223
621101.7980954428,4196246.944693401,393.9429259319939
621106.4015191818,4196236.443884316,388.3367378072937
621111.0246353422,4196225.898155107,382.7721738986247
621115.6666052856,4196215.3094187835,377.25613416154675
621120.3265823246,4196204.679606711,371.7959285131166
621125.0037102421,4196194.010671997,366.3993021983456
621129.6971215631,4196183.304593425,361.07446184657323
621134.405935583,4196172.563379962,355.83010221775754
621139.129256148,4196161.7890758095,350.67543363868316
621143.866169191,4196150.983766035,345.6202101290845
621148.6157400209,4196140.14958275,340.6747582176874
621153.3770103682,4196129.2887118505,335.850006448166
621158.1489951817,4196118.403400324,331.1575155750174
621162.9306791819,4196107.49596411,326.60950944935263
621167.7210131693,4196096.568796526,322.21890659460433
621172.5189100829,4196085.62437725,317.9993524721513
621177.3232408183,4196074.665281867,313.96525243685966
621182.132829796,4196063.694191977,310.1318053825406
621186.9464502869,4196052.713905858,306.515038077326
621191.7628194889,4196041.727349688,303.1318401889583
