UTM_X,UTM_Y,elevation,point
618293.5650905158,4196543.1654913565,726.663879394531,A1
619124.3445670828,4194968.7395768613,616.753967285156,A2
618251.9840972353,4197687.1891149627,696.977111816406,B1
619870.5268434735,4194901.2896396453,581.879028320312,B2
618967.3684722240,4197667.1163920965,719.606750488281,C1
620515.6243684158,4194865.9865462836,642.746032714844,C2
619729.9008909992,4197632.5649557123,697.661865234375,D1
620857.0598883349,4195285.2863299316,584.524841308594,D2
620439.3068544186,4197758.1447127210,580.378784179688,E1
621343.6139954196,4195695.3416380128,548.079711914062,E2
