UTM_X,UTM_Y,elevation
618131.4148402550,4197674.8528012019,702.294555664062
618132.6946761996,4197586.0863344809,707.380493164062
618133.9744890396,4197497.3198791891,722.496459960938
618135.2542787748,4197408.5534353359,721.459594726562
618136.5340454052,4197319.7870029127,732.35791015625
618137.8137889307,4197231.0205819234,733.780944824219
618139.0935093504,4197142.2541723689,741.958679199219
618140.3732066646,4197053.4877742464,746.424865722656
618141.6528808728,4196964.7213875586,745.074829101562
618142.9325319752,4196875.9550123038,743.322875976562
618144.2121599710,4196787.1886484809,739.444213867188
618145.4917648602,4196698.4222960928,740.624633789062
618146.7713466424,4196609.6559551368,734.195190429688
618148.0509053178,4196520.8896256136,739.487121582031
618149.3304408856,4196432.1233075224,745.134765625
618150.6099533458,4196343.3570008650,746.043823242188
618151.8894426984,4196254.5907056388,766.843078613281
618153.1689089428,4196165.8244218472,784.439086914062
618154.4483520788,4196077.0581494877,794.935546875
618155.7277721064,4195988.2918885583,799.59912109375
618157.0071690253,4195899.5256390637,806.302001953125
618158.2865428348,4195810.7594009992,800.001831054688
618159.5658935354,4195721.9931743685,771.997985839844
618160.8452211262,4195633.2269591698,751.827209472656
618162.1245256074,4195544.4607554041,736.300903320312
618163.4038069786,4195455.6945630666,719.011840820312
618164.6830652395,4195366.9283821639,689.284240722656
618165.9623003898,4195278.1622126931,678.070190429688
618167.2415124294,4195189.3960546525,671.518737792969
618168.5207013582,4195100.6299080430,673.614868164062
618169.7998671756,4195011.8637728654,674.310913085938
618171.0790098816,4194923.0976491207,676.075439453125
618172.3581294758,4194834.3315368062,674.963989257812
618173.6372259582,4194745.5654359227,675.619201660156
618174.9162993282,4194656.7993464693,670.866149902344
618201.7347122346,4197675.8669848805,695.945251464844
618203.0153103756,4197587.1005109735,698.549865722656
618204.2958853986,4197498.3340484956,704.828369140625
618205.5764373032,4197409.5675974553,700.367736816406
618206.8569660890,4197320.8011578452,708.065856933594
618208.1374717560,4197232.0347296679,719.007995605469
618209.4179543038,4197143.2683129227,729.079956054688
618210.6984137320,4197054.5019076113,730.725769042969
618211.9788500408,4196965.7355137328,737.375183105469
618213.2592632296,4196876.9691312863,735.486083984375
618214.5396532984,4196788.2027602708,733.711303710938
618215.8200202468,4196699.4364006892,729.823974609375
618217.1003640746,4196610.6700525386,725.794860839844
618218.3806847816,4196521.9037158210,733.553955078125
618219.6609823673,4196433.1373905353,742.84130859375
618220.9412568317,4196344.3710766807,742.218688964844
618222.2215081748,4196255.6047742590,765.188293457031
618223.5017363958,4196166.8384832684,779.44482421875
618224.7819414948,4196078.0722037097,791.875854492188
618226.0621234716,4195989.3059355812,804.712829589844
618227.3422823258,4195900.5396788875,813.4482421875
618228.6224180572,4195811.7734336210,809.954467773438
618229.9025306656,4195723.0071997885,777.228149414062
618231.1826201506,4195634.2409773869,753.374267578125
618232.4626865122,4195545.4747664165,734.223327636719
618233.7427297500,4195456.7085668761,719.435729980469
618235.0227498638,4195367.9423787678,689.471801757812
618236.3027468534,4195279.1762020914,676.374145507812
618237.5827207183,4195190.4100368433,666.312927246094
618238.8626714587,4195101.6438830271,666.143127441406
618240.1425990742,4195012.8777406421,666.429077148438
618241.4225035644,4194924.1116096880,667.7548828125
618242.7023849291,4194835.3454901632,668.710021972656
618243.9822431681,4194746.5793820694,670.244995117188
618245.2620782810,4194657.8132854048,664.659301757812
618272.0545899074,4197676.8817723682,697.17138671875
618273.3359502458,4197588.1152912704,689.940979003906
618274.6172874524,4197499.3488216046,688.755493164062
618275.8986015270,4197410.5823633708,686.996520996094
618277.1798924688,4197321.8159165699,693.687255859375
618278.4611602782,4197233.0494812001,704.095458984375
618279.7424049546,4197144.2830572613,716.387329101562
618281.0236264978,4197055.5166447563,718.3671875
618282.3048249076,4196966.7502436815,725.340026855469
618283.5860001838,4196877.9838540396,723.861206054688
618284.8671523264,4196789.2174758278,718.476440429688
618286.1482813344,4196700.4511090480,708.064392089844
618287.4293872084,4196611.6847536992,710.739807128906
618288.7104699478,4196522.9184097834,733.427001953125
618289.9915295521,4196434.1520772967,740.983459472656
618291.2725660217,4196345.3857562421,742.046936035156
618292.5535793556,4196256.6194466194,763.943298339844
618293.8345695542,4196167.8531484259,783.163208007812
618295.1155366166,4196079.0868616644,792.256469726562
618296.3964805434,4195990.3205863321,801.919982910156
618297.6774013336,4195901.5543224337,811.376892089844
618298.9582989874,4195812.7880699625,802.589294433594
618300.2391735044,4195724.0218289234,776.88525390625
618301.5200248844,4195635.2555993143,747.390258789062
618302.8008531270,4195546.4893811373,729.650695800781
618304.0816582321,4195457.7231743876,703.553039550781
618305.3624401996,4195368.9569790708,686.6279296875
618306.6431990290,4195280.1907951841,674.022827148438
618307.9239347202,4195191.4246227257,666.220642089844
618309.2046472728,4195102.6584616974,663.666748046875
618310.4853366868,4195013.8923120992,664.639404296875
618311.7660029620,4194925.1261739321,658.198547363281
618313.0466460978,4194836.3600471932,659.973449707031
618314.3272660940,4194747.5939318845,660.383972167969
618315.6078629508,4194658.8278280050,656.779907226562
618342.3744732772,4197677.8971636668,697.529968261719
618343.6565958138,4197589.1306753755,685.542846679688
618344.9386952046,4197500.3641985133,678.807189941406
618346.2207714496,4197411.5977330860,680.354614257812
618347.5028245484,4197322.8312790887,685.228271484375
618348.7848545006,4197234.0648365207,695.903747558594
618350.0668613064,4197145.2984053846,704.210205078125
618351.3488449652,4197056.5319856806,709.27294921875
618352.6308054768,4196967.7655774066,712.745056152344
618353.9127428412,4196878.9991805647,717.409240722656
618355.1946570580,4196790.2327951528,700.327331542969
618356.4765481268,4196701.4664211711,695.882995605469
618357.7584160474,4196612.7000586195,698.274230957031
618359.0402608198,4196523.9337074999,725.2197265625
618360.3220824436,4196435.1673678104,734.914367675781
618361.6038809184,4196346.4010395501,740.74658203125
618362.8856562442,4196257.6347227208,769.013488769531
618364.1674084208,4196168.8684173226,783.714233398438
618365.4491374478,4196080.1021233527,787.971252441406
618366.7308433250,4195991.3358408129,786.486022949219
618368.0125260522,4195902.5695697051,797.068786621094
